method	split	family	n	mean_sum	median_sum	mean_per_ligand	frac_pos	p_wilcox	p_signflip	n_GSE123902	mean_GSE123902	n_GSE131907	mean_GSE131907	n_GSE205335	mean_GSE205335	n_GSE189357	mean_GSE189357	n_cohorts_pos	meta_mean	i2	p_meta
cpdb_means	q4q1	ifn_recruit	63	0.04188090246821051	0.0	0.008376180493642103	0.49206349206349204	6.094213954657029e-05		13	0.10051429906401074	20	0.033581085416355794	21	0.016498806148925762	9	0.03485714780117402	4	0.04173836157041748	41.44201037191358	0.005841802618942614
cpdb_means	q4q1	mhc_cd8	63	0.4360656696143835	0.4563361485962507	0.1453552232047945	0.6507936507936508	4.832245856844552e-05		13	0.32209567826025054	20	0.6838063778345691	21	0.49943492606939005	9	-0.09770751509174128	3	0.3620820893583138	75.05066326766469	0.026972321110037754
conn_prod	q4q1	barrier	63	0.4077155203151448	0.289404468672527	0.1019288800787862	0.9206349206349206	9.828325029824855e-11	9.999000099990002e-05	13	0.20712399656277736	20	0.31060724162534015	21	0.6319292957003406	9	0.3900895313693399	4	0.3534003611073627	68.99838620777845	7.192248567234436e-07
conn_prod	q4q1	ifn_recruit	63	0.027032865832950392	0.0	0.005406573166590079	0.49206349206349204	4.898402818087438e-05		13	0.07335215420825393	20	0.015902610698679185	21	0.01224534477221982	9	0.019365343175374878	4	0.02393794626686419	44.78661290477693	0.022677126630045556
conn_prod	q4q1	mhc_cd8	63	0.6319743488311395	0.37861132778625284	0.21065811627704653	0.6507936507936508	2.6969585650769798e-05		13	0.3196422707328597	20	0.7738517079905775	21	0.9780798963137224	9	-0.03974194728501241	3	0.434714872576098	76.93381380526029	0.03574199138221732
natmi_spec	q4q1	barrier	63	0.9080095838842253	0.8940599888790465	0.22700239597105631	0.9523809523809523	1.5470912076747997e-11	9.999000099990002e-05	13	0.7126722711065666	20	0.7783689417543607	21	1.1096778656569912	9	1.0076944718263108	4	0.897743727595891	32.15315957552537	1.4180277224947003e-22
natmi_spec	q4q1	ifn_recruit	63	0.17846231884601169	0.058900593016275093	0.035692463769202334	0.5079365079365079	1.1584938317516532e-05		13	0.26769186909429654	20	0.11840011884807818	21	0.23800004733577404	9	0.044125379784451364	4	0.1500675304403227	65.85349626706716	0.0029435979968223916
natmi_spec	q4q1	mhc_cd8	63	0.10900271517872127	0.11813031108066216	0.03633423839290709	0.6507936507936508	3.242081380033458e-05		13	0.0777457287876852	20	0.1740740498578836	21	0.12397244784652653	9	-0.025380646657244082	3	0.08955961170699722	78.2633370260587	0.039356347368888864
sca_lrscore	q4q1	barrier	63	0.31523902872943166	0.27693543050562863	0.07880975718235791	0.9365079365079365	2.4731394344291504e-11	9.999000099990002e-05	13	0.2408046211360343	20	0.24296646615722256	21	0.399934206247009	9	0.3857390089837899	4	0.31379828914866875	57.778576154668116	1.0109724454218274e-12
sca_lrscore	q4q1	ifn_recruit	63	0.039810190473643994	0.0	0.0079620380947288	0.4603174603174603	6.550834698322962e-05		13	0.08348808678479404	20	0.029362303692671222	21	0.03374722240808668	9	0.014084347468222728	4	0.032298476679792916	41.44631175632494	0.0030000035357864744
sca_lrscore	q4q1	mhc_cd8	63	0.05540383273197666	0.05047840114141289	0.018467944243992215	0.6507936507936508	7.663883643763074e-05		13	0.04429005507781107	20	0.092516782177115	21	0.0566336150394625	9	-0.013885645918669686	3	0.04512749703852219	78.41646632243544	0.07136679862127675
liana_logfc	q4q1	barrier	63	1.2331806682608553	1.0964818731034536	0.3082951670652138	0.9365079365079365	3.425108994448457e-11	9.999000099990002e-05	13	0.8437545412088218	20	0.9727462220961302	21	1.6198396256338061	9	1.472224053831855	4	1.191802135946941	64.14987042550835	1.0125905827529434e-10
liana_logfc	q4q1	ifn_recruit	63	0.12084274059768331	0.0	0.024168548119536663	0.49206349206349204	6.094213954657029e-05		13	0.29002296159615704	20	0.09689453079569035	21	0.04760549162328703	9	0.10057646854457476	4	0.12043145450494355	41.44201037191363	0.0058418026189426394
liana_logfc	q4q1	mhc_cd8	63	1.2582195581091924	1.3167077971163605	0.4194065193697309	0.6507936507936508	4.832245856844552e-05		13	0.9293716754356611	20	1.9730481404603555	21	1.4410645821741104	9	-0.2819242949608771	3	1.044748069423908	75.05066326766469	0.026972321110037754
cp10k_log2fc	q4q1	barrier	63	1.1478478196131083	1.0046142328087384	0.2869619549032771	0.9047619047619048	1.1776641449331383e-10	9.999000099990002e-05	13	0.7597443809751936	20	0.8411537781799956	21	1.447901920009441	9	1.689857755461127	4	1.124583340604082	68.43141200362811	4.88066863844858e-08
cp10k_log2fc	q4q1	ifn_recruit	63	-0.005083523396591748	0.0	-0.0010167046793183483	0.4126984126984127	0.07128111872294669		13	0.3338236653368065	20	0.014908873692718094	21	-0.2726913433887765	9	0.0853745682162421	3	0.05361933253432816	43.76450819742275	0.4476350458891255
cp10k_log2fc	q4q1	mhc_cd8	63	0.22491906718908555	0.13974086551616893	0.07497302239636185	0.5555555555555556	0.18836473337415016		13	0.033560090526815016	20	1.1128411802258642	21	0.10660906862468558	9	-1.1957771099524321	3	0.08457100509369885	84.38977660433892	0.8562349912736246
cp10k_log2fc_trim	q4q1	barrier	63	1.5695036118117907	1.3198458787171936	0.39237590295294766	0.9365079365079365	2.3602886736017186e-11	9.999000099990002e-05	13	1.1044726793745494	20	1.2158491652516008	21	2.0302526207244633	9	1.9520327080031	4	1.5238868716471872	63.83544823789078	9.569070698826217e-11
cp10k_log2fc_trim	q4q1	ifn_recruit	63	0.16042246771685367	0.005593906008017055	0.03208449354337073	0.5079365079365079	7.7949887335106e-06		13	0.3649568638366257	20	0.1376829044432056	21	0.060717644263194405	9	0.1481608464327168	4	0.17340523275134193	44.475987982223145	0.0034649322197923545
cp10k_log2fc_trim	q4q1	mhc_cd8	63	0.6554516022016595	0.6138906453778146	0.21848386740055317	0.6031746031746031	0.007155615039305053		13	0.4151828602174632	20	1.4950019586802719	21	0.7109259573754232	9	-0.9926011691790882	3	0.4681546449428498	80.3560365344735	0.3612415829908171
cp10k_delta	q4q1	barrier	63	1.5921454698886794	1.3731810863269507	0.39803636747216986	0.9047619047619048	1.8449378641676554e-10	9.999000099990002e-05	13	1.0198616332948558	20	1.1382009148680972	21	2.1156414991730386	9	2.2060526211286593	4	1.5349315717810914	64.02095894856502	2.3880920404038725e-07
cp10k_delta	q4q1	ifn_recruit	63	-0.1385326538164048	0.0	-0.027706530763280966	0.4126984126984127	0.07681225229373918		13	0.3877286674536777	20	0.024655277775693537	21	-0.7525404779322882	9	0.1713571793036519	3	0.10073522043019817	47.081708221986716	0.3839624140627993
cp10k_delta	q4q1	mhc_cd8	63	5.478365024509646	0.885900950355806	1.8261216748365483	0.5396825396825397	0.07992583133735567		13	4.969216976438714	20	12.270980846326022	21	5.506517601739564	9	-8.946590079182991	3	3.7638683795380086	69.7868517182888	0.45424180194519104
cp10k_delta_trim	q4q1	barrier	63	1.7460578079731575	1.2815624709276712	0.43651445199328937	0.9365079365079365	3.7575282043085665e-11	9.999000099990002e-05	13	1.1318836739663474	20	1.4011164630546598	21	2.34600050490614	9	1.99986825295825	4	1.6533695374785964	61.11105386170264	1.948825189021161e-09
cp10k_delta_trim	q4q1	ifn_recruit	63	0.15979379703152782	0.0038849270188912794	0.03195875940630557	0.5079365079365079	8.442575224111161e-06		13	0.35933307052788943	20	0.1282639284250706	21	0.046477069527596414	9	0.20604247417141697	4	0.16308849366715542	34.63128026133587	0.006017715969701175
cp10k_delta_trim	q4q1	mhc_cd8	63	7.701180954078419	3.16353638964047	2.5670603180261398	0.6031746031746031	0.005549103053246294		13	6.142657292594263	20	14.23784155956362	21	8.482632141726171	9	-6.396916762700767	3	5.881520606318106	67.58511814348527	0.21627221684606834
expr_prop_pp	q4q1	barrier	63	100.76781921680033	102.85714285714285	25.191954804200083	0.9523809523809523	7.23422735081563e-12	9.999000099990002e-05	13	75.58868519814258	20	87.92785248483213	21	128.7018487083689	9	100.49153672335308	4	96.7065701160959	45.28667885243953	4.1366415653470366e-19
expr_prop_pp	q4q1	ifn_recruit	63	17.284337347429215	7.999999999999999	3.4568674694858426	0.5396825396825397	3.6528331903032994e-07		13	24.84732167757142	20	16.53585021327134	21	18.59487724407336	9	4.965404965404966	4	15.707628913377304	56.830868864060314	5.712895279581808e-05
expr_prop_pp	q4q1	mhc_cd8	63	41.466423208287	33.333333333333336	13.822141069429	0.8253968253968254	1.5322535002671006e-09		13	36.62260207401495	20	44.7783872388178	21	48.102942877028084	9	25.617921107326758	4	39.07975874275126	4.10794822380796	3.664551235544019e-14
conn_z	q4q1	barrier	63	3.463667851865563	3.4639009510811447	0.8659169629663908	0.9523809523809523	2.1495042514877258e-11	9.999000099990002e-05	13	3.0769358572983574	20	3.2744243611050536	21	3.5436812066799415	9	4.2561239955857735	4	3.469676321164319	0.0	1.5317386601554395e-36
conn_z	q4q1	ifn_recruit	63	0.8563431564012239	0.25219860123436044	0.1712686312802448	0.5079365079365079	4.800611554984953e-06		13	1.612648340111027	20	0.589020675911512	21	0.9306080718746279	9	0.18466748935959265	4	0.6949087172869232	69.12817945636414	0.005855102767313367
conn_z	q4q1	mhc_cd8	63	1.4224819220334808	1.2254423723058596	0.47416064067782693	0.6507936507936508	6.657962612215995e-05		13	1.715880888057689	20	1.9802946671215338	21	1.5124219951922147	9	-0.45076063312309395	3	1.2665714319007524	68.482057648459	0.014909816056568806
cellchat_hill	decile	barrier	59	0.2973113433730184	0.2598817861890098	0.0743278358432546	0.9491525423728814	8.291898126584204e-11	9.999000099990002e-05	11	0.23404381888552397	18	0.22124322518219805	21	0.4062633477231424	9	0.2725532106446414	4	0.27105146290526677	46.16027491660545	9.926019472704465e-13
cellchat_hill	decile	ifn_recruit	59	0.02176611857090799	0.0	0.004353223714181598	0.4576271186440678	7.252170003228448e-05		11	0.06639938391976913	18	0.01200829933459534	21	0.012773203567001694	9	0.007713456626262151	4	0.0152212563930173	55.58169594360576	0.020096936248305476
cellchat_hill	decile	mhc_cd8	59	0.046075838066425984	0.02253109845898077	0.015358612688808665	0.711864406779661	1.001475449377436e-05		11	0.015399820686329484	18	0.059005979970423374	21	0.07131576709444247	9	-0.0011847033423781706	3	0.03096248993573422	83.36501231451055	0.02961447034309175
cellchat_hill_pop	decile	barrier	59	0.015850767983063695	0.006364987566478848	0.003962691995765924	0.9491525423728814	6.710522165256139e-11	9.999000099990002e-05	11	0.011609717875660258	18	0.012402044828838648	21	0.02575054529334012	9	0.0048322395876952175	4	0.012033250217135727	80.98890153596652	0.0010360667366984492
cellchat_hill_pop	decile	ifn_recruit	59	0.0010332210733824082	0.0	0.00020664421467648164	0.4576271186440678	0.00013536081360538934		11	0.0030822390678549084	18	0.0005624733588102439	21	0.0007395435995847484	9	0.00015560861481044282	4	0.00043213715405260224	46.80486150233476	0.0828872273521936
cellchat_hill_pop	decile	mhc_cd8	59	0.0028227265366508564	0.0008792167936748059	0.0009409088455502856	0.711864406779661	7.612206687142094e-07		11	0.0007850469891530179	18	0.002850363488845152	21	0.00506461759876274	9	2.687071205411668e-05	4	0.0015208482957869986	85.99615655255799	0.031074326412413374
cellchat_prod	decile	barrier	59	0.422709697623985	0.32789762452798765	0.10567742440599626	0.9491525423728814	7.86538191129203e-11	9.999000099990002e-05	11	0.3231536880158407	18	0.3240472483070327	21	0.5897620670916621	9	0.3519253014654862	4	0.37766749126292487	43.117380483822146	4.914578648179265e-12
cellchat_prod	decile	ifn_recruit	59	0.029068348077440048	0.0	0.005813669615488009	0.4576271186440678	7.252170003228448e-05		11	0.08753671387851872	18	0.013202062565541779	21	0.018226124274088457	9	0.014638105329960805	4	0.02044384073921548	49.208788720101616	0.022613904516845064
cellchat_prod	decile	mhc_cd8	59	0.13218830971143106	0.09005603910521187	0.04406276990381036	0.711864406779661	2.1099144751812227e-05		11	0.0802841116573712	18	0.20882871238531894	21	0.15526144831619573	9	-0.011491354759166782	3	0.10825183306200944	77.29947695067622	0.023114791797219057
cpdb_means	decile	barrier	59	0.5046986792650453	0.44941481790031484	0.12617466981626133	0.9491525423728814	7.075725805273177e-11	9.999000099990002e-05	11	0.35517038518867033	18	0.4453853506955643	21	0.6152744817402594	9	0.5480719344996324	4	0.4810426263759766	48.74718776300687	7.569916244714268e-15
cpdb_means	decile	ifn_recruit	59	0.043735690771340194	0.0	0.008747138154268039	0.4406779661016949	0.0022551238907870907		11	0.1581862456576056	18	0.03713012987299393	21	-0.010063687581153032	9	0.0425946838628592	3	0.05103579217514087	63.205097762016536	0.06633945024901229
cpdb_means	decile	mhc_cd8	59	0.5144574685713829	0.43950197951637016	0.17148582285712763	0.6949152542372882	3.0330865141950256e-05		11	0.5399619764620713	18	0.8335923757033249	21	0.48805309435724487	9	-0.09337431550368801	3	0.45167748814547004	75.68803107836847	0.019898854138095824
conn_prod	decile	barrier	59	0.49208253156600096	0.35981888368449605	0.12302063289150024	0.9322033898305084	9.213862240183854e-11	9.999000099990002e-05	11	0.3162693015328623	18	0.39262342106619735	21	0.6994489734270194	9	0.42202855826373487	4	0.42550272107018594	54.17167548506564	4.010691836570947e-09
conn_prod	decile	ifn_recruit	59	0.02733991600288779	0.0	0.005467983200577557	0.4745762711864407	0.00016046383716795338		11	0.10475549067378466	18	0.017979343634781018	21	-0.0036123728146952834	9	0.023664032271254538	3	0.03102212655085446	64.71049286044402	0.07927023267195558
conn_prod	decile	mhc_cd8	59	0.6033157184991196	0.4446634452689755	0.20110523949970652	0.6949152542372882	1.5839458438777942e-05		11	0.4607242169297216	18	0.7207738207653738	21	0.8508334550965797	9	-0.034863369509309655	3	0.4757991816362576	80.74311493236611	0.02260864864631777
