gene	SRR8615800	SRR8615600	SRR8615900	SRR8616000	SRR8615901	SRR8615301	SRR8615401	SRR8615601	SRR8615602	SRR8615402	SRR8615802	SRR8616102	SRR8616002	SRR8615603	SRR8616103	SRR8616003	SRR8615804	SRR8615904	SRR8616104	SRR8616004	SRR8615604	SRR8616204	SRR8615805	SRR8616005	SRR8616205	SRR8615905	SRR8615605	SRR8616105	SRR8615606	SRR8615806	SRR8616106	SRR8616206	SRR8615407	SRR8615807	SRR8615607	SRR8616107	SRR8615608	SRR8616108	SRR8615808	SRR8616109	SRR8615709	SRR8615609	SRR8616110	SRR8615610	SRR8615810	SRR8615811	SRR8616111	SRR8615611	SRR8615612	SRR8616112	SRR8615613	SRR8615813	SRR8616113	SRR8615614	SRR8615814	SRR8616014	SRR8616114	SRR8615615	SRR8616115	SRR8615815	SRR8615616	SRR8616217	SRR8616017	SRR8615718	SRR8615818	SRR8615719	SRR8615820	SRR8615722	SRR8615422	SRR8615823	SRR8615423	SRR8615425	SRR8615426	SRR8615427	SRR8615428	SRR8615529	SRR8615329	SRR8615429	SRR8615530	SRR8615331	SRR8615531	SRR8615533	SRR8615634	SRR8615534	SRR8615535	SRR8616136	SRR8615636	SRR8615536	SRR8615537	SRR8615538	SRR8615539	SRR8615640	SRR8615840	SRR8615341	SRR8615542	SRR8615944	SRR8615945	SRR8615245	SRR8615946	SRR8615848	SRR8615550	SRR8616050	SRR8615252	SRR8616152	SRR8615253	SRR8615853	SRR8615453	SRR8615954	SRR8615454	SRR8615455	SRR8615255	SRR8615456	SRR8615256	SRR8616156	SRR8615257	SRR8615457	SRR8616057	SRR8615857	SRR8615258	SRR8616158	SRR8615460	SRR8616160	SRR8615260	SRR8615261	SRR8615461	SRR8615561	SRR8616161	SRR8616062	SRR8616162	SRR8616163	SRR8615963	SRR8615764	SRR8615465	SRR8615269	SRR8615771	SRR8615674	SRR8615975	SRR8616176	SRR8615976	SRR8615977	SRR8615978	SRR8616178	SRR8616079	SRR8615979	SRR8615980	SRR8615981	SRR8616182	SRR8615982	SRR8615782	SRR8615983	SRR8615283	SRR8615984	SRR8615284	SRR8616184	SRR8615985	SRR8615986	SRR8615286	SRR8615987	SRR8616187	SRR8615988	SRR8616088	SRR8616188	SRR8615989	SRR8615589	SRR8616189	SRR8615590	SRR8615990	SRR8616190	SRR8615591	SRR8616191	SRR8616192	SRR8615993	SRR8615893	SRR8615793	SRR8615394	SRR8615794	SRR8615994	SRR8615395	SRR8616096	SRR8615996	SRR8615796	SRR8615797	SRR8615897	SRR8615997	SRR8615998	SRR8615698	SRR8615598	SRR8615798	SRR8615898	SRR8615999	SRR8615799	SRR8615899	SRR8615599
GAPDH	18517924	42785676	77557540	43978317	28069333	67951501	17639070	38370917	18592757	43470039	54991101	23648560	24298024	80073756	42270529	21674967	60339428	34041846	13485036	41843653	28302887	67050973	39135864	26094053	69783541	58577065	19238530	30981272	50794392	65681308	50831014	34462278	39940414	70134770	25171686	83926071	50532384	85911090	12839591	8077399	29727061	15553276	34730952	40394456	88656835	33816545	55985299	37648223	34664702	16574698	54348801	53722907	60950688	22273841	22557371	102569028	42210053	61417291	25429005	106667329	41320503	63484855	75210910	41678710	45975951	40626016	29698749	94069418	39156889	77340717	33311416	34145282	36359169	39393987	13645678	34783621	20478836	25787732	74110848	20256685	86442203	87604286	113068078	27778979	40670472	58518271	32277851	153404138	58648573	102114424	29923192	73481079	41439213	45045303	45329881	32582432	58598406	89317784	17024628	241877993	37614399	49133431	32302445	38328038	12414988	52364850	106063393	63836364	50329700	30122155	67532916	32872349	21228570	58380533	60181229	36829256	44051779	49273813	39640693	10942057	67202784	22524116	40698408	13494644	38376532	18697873	25971630	93858967	29919922	102251147	99938319	26618357	83429887	46446173	23775023	16794516	46048754	70777488	67275512	12530285	40110206	25333693	22357904	37167138	44605989	20300085	35786872	54483037	48812583	40586315	85880919	93990234	96134634	56473619	37244967	45499190	48766750	88143113	103745334	58473422	55584711	55279642	37927594	25720256	51198089	54573124	17030311	27143543	22482893	12940888	17816936	56806273	23578525	28093955	63137918	27395024	23538204	36282528	17182360	29045612	60622860	41234963	54934618	59943936	50147091	32656382	72197586	21115863	85370159	85495766	45688313	87159762	56179219
GRHL1	49852	107708	143861	23546	63861	820922	26721	210963	49152	184028	687826	138333	46141	69255	904034	202445	1449279	74036	851872	21615	226503	2294	139864	237886	25895	122446	146283	612619	621257	1750229	199767	11548	822755	351161	67183	106369	186565	230629	177542	308908	16211	126789	31857	658599	8179	112201	22298	132006	28607	20540	3133	320713	29429	237346	763175	196689	16010	996304	61793	19756	246904	267582	35925	27312	141363	197392	79219	22316	246738	23762	115301	308430	144981	114338	56599	256492	81209	90899	1800045	111019	124212	10494	72173	103955	36830	7874	826874	419954	171393	40366	6348	162805	216351	125128	27139	179129	59802	34721	116733	14993	17465	15047	104019	63485	36770	121163	8189	639524	54778	101060	73950	46141	463558	12287	43853	71874	5306	74440	154239	59006	683218	27724	56910	12636	467605	127336	189932	755991	124412	36532	61333	91095	136366	279945	98869	78563	198142	70867	4539	90910	116117	56521	298977	1740274	27296	83189	55949	148589	14486	109842	60261	59287	206673	551222	126893	12200	27216	419540	21196	25660	2655	64814	680707	266108	231875	813109	235177	364508	43593	340341	19816	31973	268430	145311	13409	39026	26615	46093	71257	1848673	158017	14605	30009	118456	163268	439121	221872	40970	46003	38755	48614	19544	241928
KLF4	570279	20639	116902	211063	134162	487352	595413	112502	30135	114993	615327	5105	24197	378142	218019	439658	210401	109107	588909	46210	237793	547257	561539	425187	23788	705939	29011	103317	697535	264716	1149283	311237	1057072	505593	1105131	118483	753109	182372	92963	58966	170510	67232	657364	89392	948152	1757	1179689	923382	436800	2291	391262	561803	85071	1605574	478333	16857	100954	1244446	170278	425740	165863	619407	125337	77594	383262	753533	132782	174181	304718	339616	37550	722278	318927	1125707	53210	86943	99573	321745	127476	102908	430492	219468	1041006	117363	810768	416588	227799	228963	254892	186374	867658	1515514	1960199	214256	113665	286480	453591	947368	436570	112924	39303	319994	1401020	518756	118842	284442	88407	1148806	178350	227540	99185	953054	201791	110688	408699	219610	413411	67700	776930	4494	900797	10539	203246	100671	670376	88024	453917	937086	2015882	279632	683466	142044	658651	588354	638676	103671	5632	693267	219273	39367	1527005	189109	1865021	154676	237463	5257	1301188	1519542	79516	7694	407931	47183	334920	2025493	306820	340596	177155	376227	155280	24323	116611	168673	180084	1011011	462453	1333110	152177	1462574	282609	913177	6315	677788	6445	829856	897747	4091	103444	379174	7301	812206	128997	93370	360550	323349	126578	697679	328675	6996	445447	18553	2231275	61047	322489
KRT19	20998	16854	701796	3696122	146156	33237300	3490661	1073038	24044	1890640	11262971	29683	7996	51418	2401898	5198817	23762282	866764	4557848	50568	2219773	1350637	13290748	1946358	7241821	25558	1125713	27441656	15888092	29778620	24318314	4221490	13095585	14197300	812232	321512	11882954	10377884	438356	1401506	7716868	132670	137982	11032635	13427087	16591	4836388	5922974	5559603	33952	29779	9758579	63283	1518369	21251798	12391	24802604	17987065	2116602	61791	111771	14991415	536947	25025	25419547	12308672	501526	27014	156111	30844	1593339	27873531	801205	1319421	12163	3778034	4946864	86464	14373629	312236	946013	24227447	18421179	22441383	11191341	427201	2260567	30317431	16819888	120055	10291218	20661122	1719999	300559	13179	3978993	317699	32227	1147714	2980324	7027692	79272	1862952	2109501	4459644	10507474	23607	24580042	790833	12944808	21278	1129060	1216524	16126	1299649	6810443	5357520	6893749	20173234	18249	26783532	16850	8916029	8693	32570527	838347	393383	6436169	21474359	6300969	25773323	32761	13081598	31694892	5123699	29646	29686	4747864	24765	100699	25667311	548404	5384837	23534162	3254376	8881	15687257	1966868	554309	14208	31035899	19056	22216904	32926550	8495683	630520	1472010	20824636	24097	13178	28218	1235905	9176243	15406150	13839815	26521163	4323977	5262633	3075795	7061627	14834	2082202	2841331	1954263	3162791	7502	208405	2690704	281175	29555206	29054993	113757	11523767	1718402	2476877	4593100	28294854	20266	14771	1455262	2753167	56579	22389451
KRT5	16999	3408	14100	9489	3253	1997460	7730	4424	5692	14086244	3687	24894	14231	12300	32209	14369	9365	8164336	5963311	25752	22270	11526	4097	18718	12191	5935	160725	9227	5361	5290	10156	8142	7272	4803	1892	17540	3578	3554	3462	5850	11838845	1526	8174	8156	4285	5096	5347	5243	935	3388	6826	3923	2178	14948	6826	12919	834970	4106	8174	23012	4533	37067553	14128	20543	67320	5409	55657027	21056	11278	24138	20769	872943	32964	34297	22700	5379484	20794	11904	13152	4475	24136	12147	25812	15559	5649824	8224	122442	30060	5065	20863	7870	2581317	42333	16447	9392	3870	3996	27216	5775	6317	6002	16527	9209	6053	3746	24532	77552	175030	8614	9002	5129	23732	7181	3015	5934	10109	25323	20925	7411	7057	9966	3653	8851	1801	61186	17597	2199	23619	2479020	9590	22828	1808	5817	112396	29437	26695	6730	17886	13848	7725	4242	19638	60589	7977	6058	2360	23643	4260	11250	69909	136762209	5133	38757	25656	7568	3466	37425	92183	10582	2482	10545	8335	235792	14672	6695	20372	5784	6949	19292	8153	4367	30720	22143	10907	3272	11193	10143	6373	28247	16638	373436	42015	8121	90614080	10835	2018	50084	1900	2162	9417	18197	117744	102422
KRT8	64512	3443033	1627564	10240928	59054	74787416	4904806	3141631	1488298	2502153	78076080	77620	73315	54584584	7518705	8914221	39027076	5472049	3712465	55011	13728666	288215	22213615	12866468	26561287	119178318	2180167	97206004	27746101	57957710	28735210	4054222	50052518	35560175	2282476	2365852	7210482	16411684	8328430	8458210	5995069	2709622	17065162	122681497	24167345	46528	6608270	45025470	8409367	140220	3773017	14893892	12097234	4038583	44430334	7472525	84123977	33046826	5589655	6183444	7348547	12752993	61336703	122939	15039636	11686385	9101216	67825	3452116	7561300	4067404	62880897	5045202	7913246	13299509	28670838	1141235	4579049	56635066	1607141	8213297	22139473	33140796	32660589	47178550	89204	8991786	48240111	32166258	34013189	15080298	44994510	5499602	1541459	4145636	10271949	12135124	4173390	3321530	7984923	11866368	12557473	29687276	3298029	2865860	21346737	14708693	15797531	23621413	12465576	4120739	5440683	12453421	1840284	44426396	60592802	3490681	14081689	19062360	505053	27272866	53383	19559475	2586348	37417242	21795062	4418712	21214328	13216468	15010655	30463839	450251	51240753	183283014	17004703	4408765	170497	73872356	7761838	1921275	38882106	31947700	21188349	50327659	6928117	29780	59927399	6665428	65567	38396	7884116	264857	32524407	81842497	18341121	10969012	57996273	56787731	48726852	34243613	213437	5836484	3173658	63489753	32011617	55938611	42878514	77618653	13083637	4337599	39918	25741110	2608971	13239477	7718559	38756	14276552	9412739	3087821	46392029	63377313	7759609	4784759	3922827	15849799	9849610	79390264	188395	5213971	3511080	5765381	841737	29180221
MUC5AC	1750	3722	1917	1075	3765	35966	77257	24792	7568	96813	2647	1434	1193	2189581	1678	79386	11276	1554	1086	31	28885	1942	65130	1590	28921	4529	10056	5119	26642432	13261	5416	6423	5735	4979	16080	4114	2757	24501	3853	1963	2604	230937	17536	909	9025	4333	92045	3775	855444	1507	18876	15487595	1223	24947	6196061	1254	3950	2210	820	1588	6122	1983	593554	3350	1932	20272	2903	1064	4702	2846	1326	53587	29683	23317	2167	496752	24099	575	661788	3427	527630	408284	2783	4105876	245647	2170	1047772	3307	4514	1576	28591017	12332	2740	628	1166	24150365	4157	1816	769	5722	2465	2058	232491	37231	31886	12062	803730	22223	38908	11673	3198	982682	6293	1327	123561	2856	11012470	8890	5163	2140	11727	970	989	958	395026	4514	30795	1843	6062	2887161	12576	66237	2076959	1324	5017	1806	8570	245508	837	847	2901184	654	12850	6601	125109	1416	35664	2499	509	2128	1729	2000	2434	2828	278167	1073665	103635	1334	1808	7300	3892	16611	10271	4634	49930	46544	2274	3461	6437	10805	2378	757737	14034	10653	1709	750	2629	58734445	4355	81262	2090	1655	1038	10739	14	2509	2665	574	1179	2230	6377	4360	463790
NKX2-1	349	350035	20700	443763	2987433	984	1930	534072	941102	1461	4073850	54818	9438	1382	4346	1608784	3640887	36898	79074	769	1636247	126	1787051	6477	343	3503	2176	556167	659925	2655801	962068	663282	7548	22169	3467	194553	1656910	131242	3827734	1612730	13161	908304	11037	1829686	502	461112	373132	837378	590446	1097225	2217252	1164	2882	1184050	4441	7363	202	2041360	9155	619910	1362575	867	0	14533	623617	855590	40637	0	24008	1649	737774	0	1729452	1098898	897	9894	1131814	250327	3635329	1944245	1828	362501	2072	953	416	373	1017	49341	2002803	40363	4977	292	46917	142210	1411842	3750	949	1333	1215969	4337374	2106	208	548	83305	3516	741515	402	39417	385	925311	4535	557	3177879	1220	2961	1766	440	995	814818	585849	2471099	2193900	300003	2842	767869	1544	1930	486451	1482	14950	166	64247	1147	523	52639	1355995	17001	1441	198	1314142	609	2452483	9218	2045775	195	1732	150	235996	236	170116	24658	7580	725961	769049	3086128	26658	43	2028	3961	554671	322	12524	1982	197	507081	9291	5255	1672	4049	839169	607317	160	2662972	2118539	862	74976	787	83	1658939	3166396	2778	4786	722107	36006	1497054	11003	190	1108	4064	0	12979	26	3475221
PTPRC	2877	2807	1596	1935	1703	110	1643	13733	69473	1278	4169	3526	2008	7497	4025	1736	8490	3761	545	4157	3086	3818	8248	1623	5074	4271	7146	2240	3791	6898	9520	1329	1541	4696	1479	2551	9522	3368	1756	2979	3643	0	4155	6342	1914	12728	7265	4798	1909	3349	4062	190	5079	4020	5163	200040	2217	3590	1595	2855	8007	5715	2087	40407	3405	2633	10706	1816	1039	3028	707	1139	1898	3119	5213	4585	5167	145833	360	3209	4744	8189	4134	3648	3012	3597	2748	7254	2206	3450	12838	4893	1564	3399	900	5322	2474	3200	2243	2151	2118	2754	3120	33254	11729	3624	1992	3976	1608	5517	3325	1785	2899	1187	25227	1051	3889	16748	912	13464	1047	1001	2120	6088	184	13240	18603	19081	4305	4316	4001	7892	3623	2655	6583	1220	5546	2431	1145	1324	2554	2620	2731	11552	1402	1656	3526	2947	946	2288	1036	3276	3163	10970	6307	6100	12260	5006	4120	31846	2688	95962	3053	2027	7207	1590	4413	2619	6605	3800	2410	2107	1710	1183	2730	1102	10303	1109	1881	1952	6511	5146	1127	199	1853	881	3686	1565	2364	1332	4002	1433	2367
SCGB1A1	0	0	100	247	33	1386	116	92	34	297704	194	0	201	255	1965	99	434	0	2972	0	546	406	1130	232	1065	0	301	420	607	1318	0	113	101	1411	126	67	90	328	256	0	224	109	0	12	0	0	201	188	169	519	123	282	0	332	0	0	190	0	735	317	191	6004	279	328	455	0	0	0	91	206	153	2528	390	513	101	6583	488	90	4241	1084	358	95	42	487	43	88	5632	418	0	196	0	949	172	200	52	0	199	690	1116	0	226	0	0	376	191	509	2322	1382872	0	0	280	101	201	47	463	146	387	397	0	0	0	163	136	137	0	0	0	93	10933	29	123	337	976	188	740	143	0	92	2723	0	89	0	78	111	267	0	0	0	122	0	103	0	3048	0	131	1163	0	143	501	0	447	570	20523	67	0	0	0	44	663	1530	31	795	134	0	63	0	274	0	450	480	468	475	202	280	53	0	235	688	0	153	0	75	266
SCGB3A2	495	0	0	0	0	0	181	0	0	0	0	0	8	0	598	247	762	0	0	0	0	0	378	0	112	140	669	1781	101	235	289	0	0	332	448	0	0	0	41	0	0	0	847	0	4186	0	0	3493	0	0	0	341	0	813	233	187	175	251393	0	0	0	293	0	0	0	0	666	0	13114	0	0	25	186	168	552	0	0	0	0	0	0	0	0	0	0	101	552	359	0	0	0	6	590	1810	346	0	0	0	0	222	0	234	264	380	10	0	201	391	0	1	0	30	1689	0	0	0	172	0	0	0	22188	0	0	1494	148	87	1306	418	0	0	372	0	0	0	0	0	0	0	0	0	0	0	6782	0	0	0	106	0	0	0	0	0	55	0	0	0	1751	59	0	0	0	0	0	0	0	145	141	0	622	500	90	0	27	0	0	0	0	10	0	129	27	731	0	979	0	0	899	0	0	0	5374	0	0
SFTPB	470	515	0	5853	1676	4479	497	707	1011	719	16381	256	422	1283	407	1207	511359	1549	4859	182	1079	21	789	2277	1711	838	737	417	10338	438762	19456	117	178	677	450	388	242834	488	260731	70743	716	810	2388	310	272	577	51637	42262	1421	0	340	0	690	0	1057	1512	97	3799	310	1059	8893	959	1045	1166	20166	101062	566	521	468	588	5369	154	2195	20502	388	939	528	1328	8067	8170	490	1529	757	456	1130	493	868	0	126395	875	606	395	1831	1858	157	101	1061	786	333	35671	132	418	1409	1350	946	635	259	23136	403	10066	339	404	2073544	503	814	302	0	435	301	152	23033	0	439	202	34804	1018	140	1290	173	503	432	1200	1308	160	390	16488	893	1697	817	15237	233	27698	313	3315	131	504	144	1158	0	747	404	490	1107	1034	1801184	2445	523	931	855	4591	378	689	1097	408	816	1015	368	102	1335	1760	595	526	123211	715518	129	861	285	494	604	398	1072	1460	23434	506	1191035	320	1293	202	662	161	750	1012	7319705
SFTPC	132	364	201	0	135	186	222	488	10	200	575	413	18	855	0	0	346	8871	311	1403	0	0	394	0	10	236	16859	0	279	228	0	214	0	0	0	1300	229	1440	222	1312	0	166	0	0	202	1777	294	1162	152	142	339	0	0	0	305	192	11	0	391	328	280	107	1173	1454	62	0	10	199	632	0	1186	0	0	0	0	133	201	2294	20	1738	0	302	147	198	171	202	735	154	0	140	322	402	0	107	0	977	42420	0	10	515	162	0	912	4898	0	0	403	39	420	319	342	0	351	0	781	0	189	522	718	139	202	603	207	369	0	0	866	920	1836	368	365	0	69	482	134	210	869	0	2149	0	115	130	7	0	390	0	45	0	11	2062	101	121	0	0	322	259	436	71	403	251	0	202	176	0	181	0	362	0	433	0	209	3574	10043	1281	0	112	120	131	3940	140	441	251	101	0	0	791	0	358	0	299	114	0	318
SOX2	1410	1259	4455596	32089	101381	3884	1992	1313477	132439	314324	411352	5027061	2825	593	5864051	1105230	251981	51831	7532	129472	39036	1390	296822	1682543	1964	1448	1174439	73438	935	301920	3502	336	1080354	818313	1525	5146	142569	438065	615388	1615419	172405	599337	1451	163843	385	444335	19220	612138	7587	937233	692	94975	2772	772635	4776	22050	404	111315	149	10229	2950	64090	74658	1228	4420	63947	175353	4113	405091	5612	1070373	6601	3027355	2890571	42927	1044	39760	2713049	777490	707659	20860	1319	19597	5269	739	488	934	117708	488	6874	515926	1251	3979496	37755	1049	1730	97373	1848	1050110	827	919	14919	1064	3612907	582805	213640	18272	767481	176895	41790	3572	1191	2029405	2051	5307	6738	35043	3381	145917	219653	46353	915	5880	2065	86586	2459	2994	16321	443994	14389	525	2503	1430602	639	1307783	720914	10254437	12169	1076	1166861	1228725	332906	201381	1342522	9825	2395	967	1079706	0	7785	2173812	648761	15269	920	390996	2001	153615	2978	710	3528	472	3562641	2488	11206	284217	96042	9561	2525	1747	324636	718608	359157	14440	1422	11816	320241	2650	496279	866	922599	3088	9255	17167	3494452	644193	911581	316	5057882	24693	202	6981636	1541	48244
TACSTD2	10099	4079	5987	419626	2281	5197830	152880	4750	4831	2460238	5135367	5294	3550	15636	6667	22544	10565976	3806	11830368	8942	9022	5955	3307786	88398	35804	380075	7518	3880196	8297033	14032743	5237262	5272366	2366451	3971419	16246	1265	2902418	2530493	68913	573628	2007857	11744	1640331	3015047	3695	5410	557621	8687580	2665310	3240	50547	2493576	18167	13717	7659651	4127	5764	13600147	220424	1596671	5651	11861345	2886	11606	7540595	2872499	449457	11850	8116	8930	34677	3438613	31097	109470	1717	15299281	2363	9440	4682606	3841	9289	1193622	3539726	2938412	23230	4200	2102426	3118093	9915139	7295	5592	7301447	423486	1187	3661	1079963	5564	8057	3589	6481	3689	19919	1650803	3724	3110	1486077	271596	10077461	1103979	3597472	5861	419742	14719	305304	39258	339058	2522568	252001	4001616	7839	13010469	3798	623781	4169	6786030	15583	4549	1675388	12956932	1377732	13034	3588	42106	8701636	10121	5536	6234	462735	211668	3942	157893	6434	2730794	6227596	311579	3743	1349909	5047	3062	3890	5041335	5624	5074299	13593322	30486	308686	34964	16306699	599587	1708	2794	14799	6888626	5768859	3194173	10344624	1060604	1352028	388573	2592	1911	152731	11678	26716	165562	2249	369210	135768	6433	5493129	4811004	157518	29481	1240580	997449	1761118	6458918	3145	1978	9156	24520	20084	18540418
TFAP2A	288760	157017	1155192	782887	108675	270650	600031	499940	363214	371516	233791	231179	1147143	387164	238832	156981	141836	549543	822139	18592	557018	91362	248044	25530	294830	1390746	2803678	172535	1991660	1026577	140706	28244	683428	216467	79322	3840	204331	36736	2533	748099	92230	349152	2816585	831262	382452	204513	140483	556424	282541	43860	35910	164308	257417	718235	2032457	24583	694245	1180990	90592	539495	3104	1404378	366039	430362	224917	154499	488692	123699	50629	840161	112878	251666	227818	82765	306686	1046780	188738	444481	809231	354651	14657	217193	302699	307912	589733	203930	714268	648335	225077	1097026	531751	284128	235662	484725	263205	347125	96044	184371	160320	629060	633606	139348	52803	1585409	30756	594743	1061524	548570	873714	69488	545837	83358	166981	74846	455515	2403300	113303	391146	306790	19749	137845	25220	577710	92113	298169	13357	40238	2442705	1009552	336727	439876	585282	69984	1799864	116678	52657	107873	362417	485413	341433	262935	11954	1780374	863049	75017	15022	28947	104881	141378	266564	263681	358327	401951	448353	279385	427985	460697	1070467	1324696	120918	357109	1102810	1228975	164457	596614	1819586	719043	2274756	101750	125578	24022	291770	260263	341250	36780	35210	181119	27946	214789	112978	2376838	602929	47721	296606	819	331630	1198336	726925	415657	623589	594725	48501	210997
TP63	19092	1414	1157	81903	1787	5537	1732	5856	11565	2443147	731	19633	1794	12481	6930401	3616	137859	584836	454107	1370	5205	1994	412142	11943	4252	5655	2197	10343	441953	398203	104378	1296977	31720	27667	3031	10141	3195	1287	2750	83734	2028056	1562	234538	57891	1309	6043	108485	154125	6256	337	23390	210545	2466	17310	1791	3407	1816	2808	3088	24654	1754	2392775	206616	11276	51659	24072	2691407	4056	7704	61382	58016	2895	5244	2060	1323	846816	2483	7871	314040	2735	13447	44642	2698	1175	243690	4068	6047	9858	37776	4166	56642	48426	1485	6231	2625	41626	612	3162	53828	1630	702	22546	6120	97318	7900	64286	12394	1321675	3094	103038	1692	3353	465	4257	6655	12134	367314	17213	53900	106905	39935	1009	50817	91892	75937	4148	771	11013	790009	21551	66449	404	42695	8459	5492	1848	2335	9704	2054	642	746	1062	721391	34783	8805	4227	4436	5571	575	599	13316309	1519	17663	16318	65985	2091	14630	14560	15073	311	2040	291807	1521609	86	21948	7547	6827	264955	3758	1585	31226	67205	66920	1496	693	1713	3463	7824	1548	324635	4447	3766	2923	25588174	1500	875	5211	1655	1449	22539	1638	5342	216827
