gene	SRR1265600	SRR1265501	SRR1265601	SRR1265502	SRR1265603	SRR1265604	SRR1265504	SRR1265605	SRR1265505	SRR1265606	SRR1265506	SRR1265607	SRR1265507	SRR1265508	SRR1265608	SRR1265609	SRR1265509	SRR1265610	SRR1265510	SRR1265511	SRR1265611	SRR1265512	SRR1265612	SRR1265513	SRR1265613	SRR1265614	SRR1265514	SRR1265515	SRR1265615	SRR1265616	SRR1265516	SRR1265517	SRR1265617	SRR1265518	SRR1265618	SRR1265519	SRR1265619	SRR1265620	SRR1265520	SRR1265521	SRR1265621	SRR1265622	SRR1265522	SRR1265523	SRR1265623	SRR1265624	SRR1265524	SRR1265625	SRR1265525	SRR1265526	SRR1265626	SRR1265527	SRR1265627	SRR1265528	SRR1265628	SRR1265529	SRR1265629	SRR1265530	SRR1265531	SRR1265532	SRR1265632	SRR1265633	SRR1265534	SRR1265634	SRR1265635	SRR1265535	SRR1265636	SRR1265537	SRR1265637	SRR1265638	SRR1265538	SRR1265639	SRR1265539	SRR1265540	SRR1265640	SRR1265641	SRR1265642	SRR1265542	SRR1265543	SRR1265643	SRR1265644	SRR1265544	SRR1265545	SRR1265546	SRR1265646	SRR1265547	SRR1265647	SRR1265548	SRR1265648	SRR1265549	SRR1265649	SRR1265550	SRR1265650	SRR1265651	SRR1265551	SRR1265652	SRR1265552	SRR1265553	SRR1265653	SRR1265554	SRR1265654	SRR1265555	SRR1265655	SRR1265656	SRR1265556	SRR1265657	SRR1265557	SRR1265658	SRR1265558	SRR1265559	SRR1265659	SRR1265560	SRR1265660	SRR1265661	SRR1265561	SRR1265562	SRR1265563	SRR1265564	SRR1265665	SRR1265566	SRR1265666	SRR1265667	SRR1265567	SRR1265668	SRR1265669	SRR1265569	SRR1265570	SRR1265670	SRR1265671	SRR1265571	SRR1265572	SRR1265672	SRR1265673	SRR1265573	SRR1265574	SRR1265674	SRR1265575	SRR1265675	SRR1265676	SRR1265577	SRR1265677	SRR1265678	SRR1265578	SRR1265679	SRR1265579	SRR1265680	SRR1265580	SRR1265681	SRR1265582	SRR1265682	SRR1265683	SRR1265583	SRR1265584	SRR1265585	SRR1265586	SRR1265587	SRR1265590	SRR1265592	SRR1265593	SRR1265594	SRR1265595	SRR1265495	SRR1265496	SRR1265596	SRR1265597	SRR1265497	SRR1265598	SRR1265498	SRR1265599	SRR1265499
GAPDH	941049	830288	2333431	754397	1071070	1234954	788936	2041146	2332919	714800	1013343	2245186	774746	1050152	1801518	875111	902880	865880	1138220	1334428	643033	1122065	1131910	827579	1202637	1453937	2365387	732385	1241664	718741	783140	1172657	688289	956618	1088603	1136768	1815902	961280	1277735	654454	873994	1919090	725743	1134673	1163811	1851505	644443	1060983	1466662	4454945	1066727	1166687	1599837	728957	1857797	555102	1557774	993188	1319225	1027885	621052	627546	1918041	911431	1054714	1317703	1178420	1109555	1234309	1674641	1643108	1042007	1275003	1716404	2330769	779843	1777001	654292	988282	761156	986402	1208558	767166	902378	1895153	890637	1931704	1231321	1280761	860405	963110	735489	720524	1144959	943242	1433093	950273	1247559	727077	1541686	615669	787324	770467	909164	933594	960862	1447012	1266445	719136	1448945	679544	1009646	1178627	1120960	1192634	1063484	1486650	1464855	1247398	3232293	1182507	1170950	1298191	1263862	711027	1033717	701170	1569035	1299218	2071495	1280230	997747	1272894	1038982	1300051	1014924	2215678	686946	963862	1239843	779602	679559	1488275	904258	1033959	1057918	995632	999960	1155534	697996	1732237	928818	1386229	864554	1280157	853814	763053	973329	858836	978626	1844854	1156087	854530	1226951	1815530	1058643	1736575	1265582	2298599	1141928
GRHL1	20202	15887	19651	35160	86409	44773	17815	25314	50868	34796	17632	16392	41955	23140	40286	13355	20263	38307	12973	27628	28522	9684	16336	35286	18744	16297	56251	34533	15680	16617	15020	25990	28583	10923	60790	21258	9763	30238	31136	18721	10859	77026	35962	32593	29469	28162	19470	51328	22788	13355	13528	34938	140315	19602	20722	44618	34242	19858	47065	90298	43031	38584	77697	16561	12836	13899	22694	16738	14300	62412	15890	13031	29059	27540	16577	18021	35931	42140	69308	21448	35183	20275	42434	33146	28328	10148	25723	21677	15496	68243	22615	109384	30864	111308	21321	30953	37864	19657	13135	16696	28588	16367	26773	17458	26503	38574	41363	21106	7013	20381	13401	17509	27385	21822	28676	23322	42059	32033	17403	21239	21749	6732	11146	41200	42849	13193	25465	21277	14702	22546	128688	13347	78400	9052	51277	14560	31252	34099	7682	19570	40651	17131	15245	28693	32259	37602	39417	28160	60536	11533	11413	19390	16493	14125	23033	71937	27001	29527	36681	40867	86802	33233	47888	9386	14106	23995	8890	26875	14574	17162
KLF4	887366	201210	711949	435028	647333	850607	163571	1693993	34228	1036388	369098	875592	259046	97701	515536	677309	443384	276518	278077	973968	319798	1051655	339201	602217	1296244	1704653	245807	984566	375363	1122429	819260	308433	593846	456776	471764	1011720	175936	770674	358174	107777	970140	820301	402890	1443691	196635	850480	257480	293422	903243	73878	598381	349805	80619	509959	381380	188030	392118	788748	601410	524434	600148	397481	1665748	1077694	280734	618304	687624	633178	316686	411174	382290	1152806	383359	618502	1331980	278972	376843	139554	317860	525354	962855	133648	258226	285511	1028148	605745	1996211	463500	656060	171235	1661124	856354	276674	245623	881106	363420	299814	349167	650464	599816	640384	315112	582737	1090537	561170	666994	578528	357176	632951	917322	603824	1036488	836033	751424	694969	440636	421178	180631	834645	369995	962609	491717	554024	661050	231658	952796	483476	698701	773476	424617	313045	626902	335357	465692	979866	700070	128317	730474	724365	609663	519888	917135	865028	327317	250638	469344	177090	839379	60029	302452	870552	541334	1059815	412909	247052	247210	301578	805371	324343	300198	715454	641438	1153927	1604854	989571	302922	1136816	421841	767450	993282
KRT19	296844	371126	1158455	516998	681011	550574	646130	1099269	1220541	244686	329915	1191216	684288	429536	565544	273651	767410	343999	316722	587743	388109	546794	108124	429440	960913	1301481	1692788	396114	166900	218259	612783	655123	355549	274359	857567	548478	541878	365829	741229	347918	855797	1206267	558541	587277	795962	642738	452166	461954	382533	1311454	320701	824977	1417958	441307	526783	783353	1312953	454613	1110381	402268	413463	441152	836555	901605	400595	648471	385004	568806	228987	536776	729798	525889	324583	923337	654687	426735	394573	569085	290963	322005	293188	230280	371108	683104	362343	681800	444754	236970	625218	557755	256976	658459	257173	907673	543142	528466	394813	635866	435909	948070	213186	550172	476657	468052	711263	616963	974679	726088	602872	764072	411830	509312	364019	282063	836050	730928	919233	982354	383491	699367	494517	369450	428809	523753	548153	562218	398581	538854	523258	594575	1023669	431399	677558	547897	380766	553641	1449394	374683	436736	913292	348987	316332	456670	460317	356285	411580	483813	461863	619021	348538	351176	549557	618716	842870	500133	870854	449752	403510	374139	534004	698745	336331	408511	207441	178593	440597	703529	567983	181897	879189
KRT5	11007	5627	13515	32769	294889	44621	2486	2004	2219	2531	21119	1646	73718	63039	22952	1192	10365	16909	2072	1750	3646	2018	4815	11903	3816	202	574331	14090	21342	707	4771	20403	1212	14830	884496	11613	16363	101	92641	7016	2042	97050	13818	10530	38754	13793	1310	59234	54663	40921	1083	85117	869093	1609	16714	73116	52021	19316	87043	10538	17450	3442	226829	18876	16949	3038	8096	8043	597	96327	2006	56393	3936	23204	65759	2713	313777	54642	13916	2252	79976	16690	42714	14921	44428	7503	2388	502	25026	20327	85372	452996	6268	2976450	2889	57358	12167	17861	3835	60154	2977	2311	28798	348	19851	16936	25092	4992	47816	15609	296548	4916	9280	10925	3081	2828	4500	20885	101	37567	2130	638	5447	98921	32518	996	20741	1003	19228	31364	252984	501	76400	2088	4005	2388	202	37019	12525	16711	4003	3275	25251	37795	21315	36366	121564	8866	59360	2415	4354	24562	92202	14827	1978	60504	8673	2222	0	23762	167809	38078	27751	905	9027	30960	13412	5759	21655	15711
KRT8	545407	374019	1328600	810448	1036684	1351479	566222	1592593	695766	417121	670819	2324343	639404	551912	1047064	592272	646440	700554	547900	800976	583111	484130	371111	741331	793196	1731367	1786092	525684	374998	308285	804702	1138282	773210	311652	1029608	809715	546534	931050	1322097	335539	726914	1630613	674298	996070	796628	787580	381426	900451	571759	1853481	377714	1158354	1270768	661000	788668	1012547	1594230	714973	1328896	1131235	557270	580750	654390	1251399	868247	696257	679235	402227	368466	823250	987271	528055	487423	1011672	1035595	766777	573634	629625	639932	519885	383098	381647	441709	759648	629781	663169	840322	455542	789853	632641	387965	590965	480272	721986	777977	1013289	362210	708214	647158	1579588	365938	582082	547789	637968	843346	706014	1121339	847496	662160	1212288	376725	770473	645712	646268	1231887	730156	1026111	958565	1034649	748354	742294	571578	470196	617257	666069	897702	700806	761445	818333	1293178	909117	591893	674555	427957	697160	508036	1344061	841436	523542	775817	533681	759870	492972	718671	561632	1002341	427390	831158	1227746	522869	622503	613962	771355	1349743	457577	920620	514691	455919	744823	623959	1230143	937653	720050	308509	291582	718968	1390463	788639	236213	813046
MUC5AC	2341	202	122	331647	944101	76529	0	4017	14	200	147	202	482	17411	699	179	0	1313	101	505	0	100	0	1649	0	14	955	0	101	101	0	1512	0	744	59554	0	374	0	4750	32	136	2012	10784	6930	7421	101	0	1365	1278	1121	0	4126	2948	857	21	3895	431	0	22118	0	3631	929	4321	2568	60	0	190	12	57	6917	4338	0	5750	101	404	0	83	9194	1009	99	0	201	1606	4278	101	403	9	811	2405	0	165	5221	303	6	0	24732	1913	213	0	101	2947	101	1844	85	370	2171	12	0	279	504	51	1235	101	7625	0	2798	705	216	0	2124	101	202	239	5237	101	0	1406	55	0	0	311407	13	0	101	302	202	333	0	0	1625	202	0	400	60487	15733	0	0	505	1006	0	0	0	202	1226	4681	6596	2359	5921	0	101	0	0	11	303	0	339	2220	101	12609	794
NKX2-1	345936	618100	1100765	393129	359275	164357	1053250	1177038	242229	254514	413191	1499329	621517	409164	224035	293461	460240	654807	316394	645044	453362	1181477	160705	288819	919327	425091	628727	561768	136975	275246	552780	673836	274165	346937	231941	597991	491581	421790	670235	460897	925245	771917	691021	255553	892360	801563	660339	417832	337069	371082	682319	389143	872875	505256	420282	455591	848947	474725	521820	266958	367077	614565	871518	442788	230334	681010	328625	460602	298060	529287	447124	598686	511494	625922	397136	419305	248514	746476	255170	630197	381828	331979	493565	590105	304112	534688	270822	434071	243491	494238	289106	340824	405580	416157	290129	462985	423848	882081	353331	745040	411508	503564	434503	490271	762735	603661	604736	927215	522194	441098	258030	208914	410124	257796	673626	562111	1163019	778357	389690	458774	318542	354063	393024	645650	551780	234836	418352	581065	622629	426640	801179	495837	784579	564477	286612	963115	700473	365236	569521	765646	449678	360226	406620	608274	666168	386501	904371	343555	345321	459578	381028	556463	455523	565713	452373	573809	603072	615305	214875	746723	604300	253639	345899	269809	153464	747255	217760	596555	58282	820761
PTPRC	1080712	1223963	676838	892432	877699	1343394	645007	1612278	577261	954442	693248	840312	422445	897761	771576	1656655	878704	1093519	2056172	772083	969510	414531	940972	881507	460021	772467	274336	912855	449242	1264255	656376	985026	1401453	991615	551152	551591	525802	1248585	690246	626350	657161	344995	1126362	1223480	536171	1016357	702116	785549	1350591	346771	580569	591494	78361	769875	1326056	232721	384094	855724	641667	1800287	717143	445466	949721	522482	1816266	456786	1004853	381627	981297	987088	603650	884011	619537	1178270	1024618	869932	517201	723653	859004	1177082	575903	514052	890636	708816	817720	490700	1238796	908639	908648	679168	1103913	368203	1193473	646909	688175	623019	734664	497869	1092069	319461	1000403	559527	877035	1231394	600649	519845	580521	897438	314835	578327	1148863	681233	436024	970235	871476	316513	683439	712398	948575	652414	499689	1092042	998386	367315	433117	375532	780758	647250	602091	576432	749084	925165	634233	413780	946529	459433	298302	911351	918835	564424	1052987	1548003	1077082	726136	651473	834306	647219	1008468	373329	758309	657777	1301832	1089451	850055	744357	703442	922676	844834	1025366	998492	858576	668666	439222	904337	1062517	1179868	776578	415894	2348060	430364
SCGB1A1	22268	1453655	1446	5165931	5487515	1290296	72783	97168	4784	6139	35093	22156	2226228	890754	626866	786	355060	1174795	20225	2455199	1756	987	17032	755005	8852	24816	10298544	12126	8447	4130	101018	897550	4475	25233	8342797	405673	52106	4117	327321	110250	103520	9486099	1614003	1241510	3243271	653569	25984	2365714	2539173	53270	122262	10578552	40347597	70829	2716	6037442	231822	3346	12140732	2878	6642085	1953437	8898858	453004	6974	15047	9692	8317	3583	982986	349573	1457	977663	11543	35570	75382	836164	4734660	587422	141597	2491152	11254	1262792	425467	3101198	44319	515	96809	425170	4076368	2406259	15738718	327019	4037978	3897	482042	3564198	1788473	300778	230466	171540	17005	892119	95172	1419633	6467046	2314065	170343	167832	8671	16321	1710343	466004	1020862	375057	282890	151555	604413	1797	2299179	664868	10419	10965	6306946	351295	23898	1039799	66439	10494	1943323	2748537	21834	7124392	503692	25988	175280	1380	1204590	5330	1604539	234950	53335	7553	3830868	1569411	1932487	80149	981792	6316871	7391	13688	781	4863	4010744	627287	1595059	536987	149332	84547	95231	6360250	2201	2258021	178560	510484	122252	43904	346388	787253	1252040
