gene	SRR7695500	SRR7695501	SRR7695502	SRR7695503	SRR7695504	SRR7695505	SRR7695506	SRR7695507	SRR7695508	SRR7695509	SRR7695510	SRR7695511	SRR7695512	SRR7695513	SRR7695514	SRR7695515	SRR7695516	SRR7695517	SRR7695518	SRR7695519	SRR7695520	SRR7695521	SRR7695522	SRR7695523	SRR7695524	SRR7695525	SRR7695526	SRR7695527	SRR7695528	SRR7695529	SRR7695482	SRR7695483	SRR7695484	SRR7695485	SRR7695486	SRR7695487	SRR7695488	SRR7695489	SRR7695490	SRR7695491	SRR7695492	SRR7695493	SRR7695494	SRR7695495	SRR7695496	SRR7695497	SRR7695498	SRR7695499
KRT8	172683	165004	51134	49574	54469	53112	236265	225197	244034	241955	156495	146177	157225	156431	215947	206222	222025	209648	338491	333512	345006	342003	97346	96948	108736	100498	57520	54984	55916	55110	159007	169162	178189	175598	186650	184519	202225	188946	331914	329347	343864	336651	69689	73728	73521	73509	165007	163565
MUC5AC	3715	3051	0	0	0	0	149	150	150	69	63	0	0	0	2283	2292	2267	1738	46	0	75	224	3223	4250	4073	4380	122	75	75	75	75	216	217	74	225	141	279	149	0	0	0	75	0	0	0	75	3860	2951
NKX2-1	155237	148143	213119	207762	222579	215694	53022	53503	53460	56946	132417	131910	132817	130176	59033	59275	59381	62029	96890	97295	98978	99633	92095	88826	90150	94211	125760	118429	125797	126101	65604	64119	75209	67634	109089	104011	110381	109212	144983	133805	150022	152225	181167	173655	185920	177929	148592	142934
PTPRC	140249	138915	73995	78369	82248	81579	187229	175152	186548	190000	111035	111264	119199	118988	106012	106822	109484	111020	122573	123574	128899	123649	104327	104112	110659	107666	95711	96054	101578	94295	298410	289437	307026	304805	175306	167748	172877	175320	161935	155344	167253	164529	138213	138708	136202	137674	144769	136588
SCGB1A1	456946	456025	38452	39115	38154	36910	265658	278981	277962	285273	79703	79846	86189	85904	410715	414166	420296	423143	169058	172513	181414	182317	1065686	1077333	1130143	1123039	916033	894399	958803	959008	72760	73865	74162	74832	452145	453409	483123	492943	243352	232486	256965	247664	196576	199067	213260	202964	440410	434934
SCGB3A2	354156	344186	183772	183452	201487	192668	240107	235966	240756	238596	190342	179128	186441	191886	339953	346707	351237	365797	93367	88975	98037	94346	299328	300787	323445	315743	283663	286635	301744	296302	148555	151009	161356	163592	242020	229567	253489	237243	161621	150980	160536	162114	204539	206568	229404	219698	339511	333041
SFTPB	13597785	13354889	10302014	10168252	10789875	10598868	5953411	5899358	6237158	6141466	9141521	8931001	9553674	9423686	6126591	6077563	6468855	6396890	4479961	4442213	4733035	4650431	6942690	6845651	7230697	7144841	6354838	6256123	6680957	6542441	8392439	8355437	8850425	8685938	8117957	8064477	8488565	8437881	6912610	6794251	7152024	7120428	9358602	9216777	9719260	9625272	12939831	12859659
SFTPC	5628044	5515650	9076942	8981768	9566247	9392997	2257966	2244423	2371504	2363734	8158148	8030253	8532167	8411673	5046766	5012139	5322689	5253739	12597802	12498248	13231829	13063294	8810329	8709922	9164111	9097125	7363013	7323175	7833591	7678452	1978963	1945203	2075523	2027025	5792043	5713956	6013758	5942984	11098496	10944682	11663355	11445276	12878968	12788880	13482326	13327158	5349811	5314523
SOX2	3294	2771	150	375	450	225	2157	1941	1636	1933	450	673	742	750	5158	5828	5889	6137	1334	1851	1939	1125	10971	10847	12518	11311	12076	11499	10056	9852	446	449	821	881	2393	1929	2023	2371	1869	2311	1575	2037	818	674	748	1124	2521	2699
TACSTD2	132382	122032	80410	73600	82179	78657	325363	320130	338573	339692	184990	172173	183849	178502	248139	233666	256795	253849	212385	210763	227902	224287	193597	189365	199570	205403	105226	102886	106857	109663	132848	132102	136930	146205	206949	201823	212644	200525	123256	123045	129538	125649	142698	130151	139231	146808	124575	117141
TFAP2A	836	823	387	404	360	209	343	748	525	375	225	264	75	276	899	727	639	825	75	225	222	337	1272	1021	649	874	320	538	742	517	223	300	450	140	300	517	719	375	225	528	64	74	75	293	210	290	300	589
TP63	2821	2135	968	1268	1859	1944	524	675	375	448	440	450	524	431	899	733	756	1275	666	525	675	900	1044	1190	1350	1724	2675	2096	2607	2906	662	506	525	750	1648	2602	2296	2560	2304	1705	2241	1649	1226	1337	1949	1648	2303	2375
