gene	SRR1706900	SRR1706800	SRR1706801	SRR1706901	SRR1706802	SRR1706902	SRR1706903	SRR1706803	SRR1706804	SRR1706904	SRR1706905	SRR1706805	SRR1706806	SRR1706906	SRR1706907	SRR1706807	SRR1706908	SRR1706808	SRR1706809	SRR1706909	SRR1706910	SRR1706810	SRR1706811	SRR1706911	SRR1706812	SRR1706912	SRR1706913	SRR1706813	SRR1706914	SRR1706814	SRR1706915	SRR1706815	SRR1706916	SRR1706816	SRR1706917	SRR1706817	SRR1706918	SRR1706818	SRR1706919	SRR1706819	SRR1706820	SRR1706920	SRR1706921	SRR1706821	SRR1706822	SRR1706922	SRR1706823	SRR1706923	SRR1706824	SRR1706924	SRR1706925	SRR1706825	SRR1706826	SRR1706926	SRR1706827	SRR1706828	SRR1706829	SRR1706830	SRR1706831	SRR1706832	SRR1706833	SRR1706834	SRR1706835	SRR1706836	SRR1706837	SRR1706838	SRR1706839	SRR1706840	SRR1706841	SRR1706842	SRR1706843	SRR1706844	SRR1706845	SRR1706846	SRR1706847	SRR1706848	SRR1706849	SRR1706850	SRR1706851	SRR1706852	SRR1706853	SRR1706854	SRR1706855	SRR1706856	SRR1706857	SRR1706858	SRR1706859	SRR1706860	SRR1706861	SRR1706862	SRR1706863	SRR1706864	SRR1706865	SRR1706866	SRR1706867	SRR1706767	SRR1706768	SRR1706868	SRR1706769	SRR1706869	SRR1706770	SRR1706870	SRR1706871	SRR1706771	SRR1706872	SRR1706772	SRR1706773	SRR1706873	SRR1706774	SRR1706874	SRR1706875	SRR1706775	SRR1706876	SRR1706776	SRR1706777	SRR1706877	SRR1706878	SRR1706778	SRR1706779	SRR1706879	SRR1706880	SRR1706780	SRR1706881	SRR1706781	SRR1706782	SRR1706882	SRR1706783	SRR1706883	SRR1706884	SRR1706784	SRR1706885	SRR1706785	SRR1706886	SRR1706786	SRR1706787	SRR1706887	SRR1706788	SRR1706888	SRR1706889	SRR1706789	SRR1706890	SRR1706790	SRR1706791	SRR1706891	SRR1706792	SRR1706892	SRR1706893	SRR1706793	SRR1706794	SRR1706894	SRR1706795	SRR1706895	SRR1706896	SRR1706796	SRR1706797	SRR1706897	SRR1706798	SRR1706898	SRR1706899	SRR1706799
GAPDH	3290649	1379923	1374311	3282750	1367530	3299598	2068203	987930	978661	2085586	2098366	999739	981796	2064298	4582853	2105014	4616908	2101519	2115676	4628196	4616319	2102044	3242451	6486878	3221562	6534162	6486811	3227358	6522928	3214295	4675763	1781204	4642490	1818753	4641796	1809285	4682098	1785432	3353323	1180927	1181234	3368288	3390144	1201354	1166751	3434297	770420	2232672	783276	2242663	2229686	774191	766879	2222133	2589731	2590001	2604002	2581039	2449247	2460537	2458570	2450054	1905798	1897309	1910117	1895915	1578559	1537237	1566911	1554848	1279761	1265505	1294547	1280516	4488842	4423859	4410346	4410993	8587258	8611579	8633274	8666955	6687855	6666004	6712131	6731775	3309802	3254821	3311933	3281792	2324279	2329483	2314059	2342531	4778571	2428635	2459665	4753868	2479735	4821402	2420818	4776961	5366553	2159700	5335940	2168321	2169676	5345480	2147389	5347122	4933130	1777874	4967637	1809777	1791296	4884392	4942238	1787113	1556882	5274378	5268453	1531674	5303947	1571356	1539535	5293367	1212207	1900741	1896550	1226880	1908087	1219914	1883645	1218457	2463034	5780863	2495920	5731636	5744032	2505907	5776136	2511378	2192953	4898698	2211078	4899277	4906500	2224714	2173616	4930985	1949673	4399168	4411895	1957684	1982744	4393933	1966065	4433441	3274595	1374273
GRHL1	5896	3985	5411	5014	5607	6196	2300	2226	2054	2271	2086	1963	2048	2337	17033	10857	16131	10187	9600	18671	17176	9151	15681	21249	11344	22549	24164	16463	21029	13956	14750	6987	16758	6698	13395	8568	13626	7402	8831	3684	3238	7701	8066	3936	3318	8695	2016	3314	2977	3835	4168	1541	2402	3171	10562	14249	10324	10381	9337	7952	9018	9912	7128	6817	6940	7443	4407	5764	4251	5280	2897	2739	3083	2459	13223	12484	14391	12702	24932	26690	28368	25568	16319	17742	17649	19035	7853	7243	7175	7097	4000	3869	2569	5115	18147	9776	9449	18765	8355	16705	9907	18573	16861	6543	18349	7136	8646	17596	7834	22391	13710	7025	15597	6192	6562	16409	14172	6518	4699	10460	14261	4649	13705	3993	5260	14123	2723	3816	4238	3185	3144	2957	3493	2351	10220	15204	12376	15417	14909	11309	13875	11847	8900	10849	9834	12011	12035	9153	9015	10375	7497	11583	9392	7357	5681	9233	7615	10678	5156	4756
KLF4	11392	6275	5780	10974	5201	10728	6082	3187	5083	6476	5986	3119	2879	5181	23172	11266	24551	9275	12303	20776	22440	11115	15230	27943	12165	28935	27431	14690	26180	17933	17244	9754	21580	8209	19734	8108	19281	6468	14818	4831	4524	13892	15039	5272	5057	14117	2988	7770	3481	7545	9879	2660	2898	8390	10742	8938	11983	12131	11375	10953	11136	12749	8116	7672	9947	8740	7186	7101	5532	5609	4044	6380	5538	4230	17676	18610	20190	19802	37599	37451	34501	38327	27214	25480	26851	26928	14269	13144	12677	14282	8638	7710	8536	10059	24926	10736	9214	24459	9900	19598	10912	22894	24515	12083	23144	9941	9673	22248	8672	22968	19514	7630	23415	8736	9091	19464	20423	6807	6978	20648	22815	6936	19250	5649	7338	21608	4184	7156	7393	4366	7349	4625	7792	4570	11059	21531	13689	22157	23991	12775	22555	12890	11570	16899	9447	18587	18452	10682	10587	16644	7519	16614	14392	8414	8160	19076	9239	16326	11886	5387
KRT19	617109	266373	267773	606517	256998	618753	369057	173607	176758	371314	375669	183219	180385	360198	873898	405065	869284	415270	414917	870354	866511	409536	622540	1189174	627644	1188218	1173271	635063	1184839	643790	832082	331890	829350	337030	815846	353396	830528	344912	579989	218447	224634	587951	585865	213157	221113	587012	140276	319907	135746	317790	320429	149150	136035	317189	481027	485779	489446	495899	442380	438460	434156	429852	336308	336423	328731	328899	245994	249951	253819	255348	182026	175125	179718	186957	1266857	1264723	1264945	1258184	2163257	2156357	2149872	2186553	1513316	1511407	1510325	1501567	632800	610497	611595	635869	304335	304019	311553	309298	964552	677025	669317	966873	652325	964580	681777	970279	1052257	547299	1044352	556285	563295	1047776	564633	1079698	933488	407796	928308	407365	394094	933077	931146	410554	282362	1028271	1023355	295433	1024885	290260	301650	1040491	156614	345763	344541	166653	341300	160842	338958	169516	509607	1097833	519908	1096692	1093464	504593	1099482	520169	442901	915309	429434	894266	910763	436529	436633	928202	380807	810966	814251	384459	375476	823136	378106	808475	606846	266817
KRT5	12	122	97	0	230	200	0	0	100	0	100	0	176	99	53	0	0	0	39	192	0	100	0	0	0	330	21	0	16	61	300	200	100	0	12	0	0	53	187	100	0	26	0	0	0	100	155	0	200	100	0	200	0	200	0	184	0	100	100	0	0	300	100	100	0	0	0	0	0	100	0	50	99	236	0	0	0	100	300	0	18	100	100	0	116	199	100	100	100	0	124	42	0	0	0	0	100	0	0	10	100	100	100	0	31	192	0	0	100	100	218	0	0	0	0	226	191	58	0	0	226	0	300	0	100	200	99	200	270	0	29	0	100	0	0	197	0	12	0	13	0	0	100	19	0	52	0	0	0	58	0	0	99	0	0	53	187	19	200	200
KRT8	1962934	644304	656475	1967350	633960	1980913	1479326	548517	535252	1496103	1491418	558368	545404	1501039	2005217	648452	2004356	677331	667123	2019664	2025358	669135	1151941	2940045	1145634	2917520	2902422	1176158	2924640	1141434	2298539	736215	2286428	742996	2291449	736478	2288858	743552	1896701	560518	547287	1906079	1901236	558985	560386	1923911	441794	1307150	436105	1305207	1297925	426907	447564	1305102	788046	801742	800261	794942	789065	787948	798280	805403	671676	686488	675166	663852	575288	584591	605904	593636	517316	516152	528905	519574	2380299	2346020	2373659	2417256	4778779	4772949	4786559	4804881	3829205	3826951	3839638	3841726	2026277	2002227	2002721	2008080	1429119	1422086	1391665	1424376	2100824	929528	939518	2089679	948556	2087677	950975	2092766	2582679	853106	2622628	846855	848524	2609383	847144	2635826	2657349	724465	2640391	695504	717825	2652667	2662728	705531	660092	3514564	3532182	664065	3522768	665257	651603	3544301	542925	1465910	1490333	545183	1494011	549260	1505508	550010	778126	2225911	780456	2210119	2198695	775122	2238693	784822	767753	2067489	764727	2077613	2078300	770996	768443	2099925	742789	2186308	2149876	742399	750441	2162072	753131	2164582	1975147	633135
MUC5AC	17	100	0	0	60	0	0	0	0	0	54	0	0	0	100	0	0	100	0	0	0	0	200	222	195	200	300	100	0	200	200	20	0	100	13	0	200	0	100	0	0	100	69	50	100	79	0	0	0	95	93	99	141	0	0	100	27	0	0	0	100	0	0	0	0	0	0	37	0	62	100	0	0	11	462	0	0	100	457	199	600	395	291	400	100	297	300	291	100	100	0	0	0	76	100	165	112	100	137	0	100	0	0	0	198	0	100	198	0	100	198	118	0	0	100	100	0	99	0	300	299	0	94	92	38	158	0	0	88	200	192	0	100	0	0	0	0	200	0	100	0	0	122	100	0	99	72	24	0	0	300	14	0	100	0	0	71	100	0	100
NKX2-1	29900	11470	10951	30522	9670	29640	17088	6735	7683	17487	16931	7423	6116	16246	49383	24196	43806	16370	20743	49956	47105	20875	25898	63093	27444	66517	66575	29092	65618	28722	43970	16620	47192	15445	47155	14204	45564	15082	31634	9592	10296	32209	31049	11371	8781	29719	4587	18571	6508	17866	20810	6819	5862	19392	17628	17487	18317	16623	12162	17068	15885	16358	13076	12214	12536	11909	9295	8875	9893	10181	9043	9512	7572	8589	68031	70288	69010	70400	118189	114354	117314	117735	77101	76064	73625	79961	32133	32679	29721	30588	16481	16474	15915	16022	65406	23983	24307	57624	27628	59159	24649	57746	65107	21340	64849	18910	21683	68467	20732	60140	62841	15841	54677	17172	16319	56871	59872	14012	9836	57187	55662	10352	55171	11229	11514	57364	4926	21449	18309	6576	18044	4940	18879	5237	19947	60970	19169	64004	63389	21804	65205	21847	18911	52407	19301	52634	54415	21045	19851	51866	14565	42969	41974	15794	15726	44076	15345	43330	30231	11616
PTPRC	100	0	0	0	0	0	0	0	0	0	96	0	0	0	100	0	86	0	0	188	0	0	81	400	0	0	0	0	100	200	0	100	0	100	0	0	100	0	0	100	99	0	0	99	0	100	0	0	0	0	0	100	0	0	0	81	0	0	0	200	100	0	0	0	81	91	0	100	0	0	0	0	100	0	142	100	100	0	37	300	100	0	328	92	384	200	100	100	0	0	97	0	0	0	0	100	0	90	0	0	96	0	0	0	0	100	0	137	100	0	100	0	189	97	200	100	0	0	100	0	100	0	0	0	54	0	100	0	0	0	194	200	0	0	90	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	89
SCGB1A1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	4	66	0	0	0	0	0	0	0
SCGB3A2	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFTPB	100	99	300	0	200	196	109	111	104	168	9	100	200	200	100	345	0	278	400	0	300	292	685	334	677	100	300	565	200	355	100	491	0	600	99	343	99	366	0	395	279	100	68	594	100	100	0	200	199	0	0	100	366	0	258	100	0	198	100	196	190	200	534	299	200	109	100	200	100	226	423	440	200	84	945	1081	1045	784	2380	1953	2421	1213	693	795	1269	1492	536	509	200	700	100	70	0	100	398	300	335	180	297	298	599	288	100	599	100	100	199	100	0	200	300	468	305	298	351	116	195	458	403	77	400	595	0	0	0	499	99	200	100	201	200	300	100	300	200	200	500	0	200	112	200	476	300	100	328	600	100	257	211	200	192	300	100	199	300	500	66	100	200	100
SFTPC	0	0	0	0	0	0	0	0	107	100	0	0	0	0	100	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	169	58	0	0	0	0	67	0	0	0	0	0	0	100	100	0	0	0	0	0	90	0	0	0	0	0	45	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	100	89	0	0	100	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	100	0	100	0	0	0	22	0	100	100	0	0	0	0	0	100	100	0	26	0	0	0	0	0	0	0	0	0	91	0	0	0	0	100	0	0	0	0	0	160	0	100	0	0	0	164	0	200	0	0	100	290	0	0	0	0
SOX2	1866	600	400	1898	599	896	897	899	700	799	598	998	799	900	1459	900	1000	899	783	1796	799	900	1398	1994	1399	2200	2799	1000	1599	1262	2170	894	1600	900	1599	1185	2300	892	1986	799	810	1489	1377	698	600	999	282	1298	100	1200	1400	580	1278	1000	600	796	799	991	899	698	697	799	1094	1099	1177	1493	900	600	795	1100	567	1200	999	988	2899	2668	2897	3197	4598	4925	5792	4893	3099	4194	4471	3666	1497	2189	1886	2698	1000	1699	1400	1298	1395	2294	2595	1400	1394	1600	2198	1600	1300	998	1601	1699	1100	1497	2398	1863	2000	1397	2300	1398	1870	2290	1996	1400	1496	2300	2299	1598	2684	1972	1765	1899	1000	1000	1398	1382	300	700	1491	799	1000	1098	1098	2200	1300	800	700	687	1524	1300	900	1578	1599	1180	888	1279	898	1200	1798	800	900	1000	599	1293	1492	1300
TACSTD2	155354	59860	64327	152837	63000	157481	65882	31241	28775	69557	71259	32343	30179	71692	308083	137216	304030	150127	149538	305152	310208	149350	217288	378646	217127	392253	371589	208930	384004	207945	229232	116422	238129	107366	231947	104836	245526	112045	133912	60345	58655	132757	134976	62314	57940	130350	29070	45852	24742	44202	49731	27842	27385	46990	157820	147609	153928	159402	134527	133702	128863	132282	90203	93321	93091	85472	55155	58057	54499	60688	23768	23718	23580	26944	517094	513307	521241	525847	850647	858223	847756	854529	522998	515988	519467	524704	177687	169914	172760	176458	44458	37703	41783	43860	342327	245746	237789	343905	249040	342358	238707	351306	347307	185763	339355	182528	181787	339588	185634	341631	294932	121364	291921	125025	123539	295196	290458	125877	74895	265313	259302	78737	255697	75795	78186	262928	19830	69237	65169	20532	68548	20375	67999	20022	165117	396603	159254	386494	382921	156709	390772	162774	134292	305942	125329	306147	292004	135706	132791	302801	105206	241558	232423	105854	98741	238705	102186	240144	148494	70665
