study	panel	symbol	probe	mapped_via	raw_symbol	alias_note	description	GSM557400	GSM557401	GSM557402	GSM557400_scan	GSM557401_scan	GSM557402_scan	GSM558700	GSM558701	GSM558702	GSM558700_scan	GSM558701_scan	GSM558702_scan
GSE22421	PRIORITY	HLA-A	26212	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR	-0.1203	-3.0589	0.1763	0.3045	-3.9049	-0.3834						
GSE22421	PRIORITY	HLA-A	31702	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A	-0.3585	0.9411	0.3219	0.2967	1.1457	0.6119						
GSE22421	PRIORITY	HLA-A	33565	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A	0.7398	1.6915	-0.1681	1.0135	2.6447	-0.3593						
GSE22421	APM	HLA-A	1461	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A	-0.5564	3.0892	-1.1520	-0.1711		-1.4117						
GSE22421	APM	HLA-A	2020	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR	-0.3219	1.0426	0.0704	-0.9344	1.6147	0.9161						
GSE22421	APM	HLA-A	4836	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A	0.0566	1.0215	-1.2863	-0.1530		-3.3410						
GSE22421	APM	HLA-A	7509	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A	1.1110	-0.3040	0.0286	4.3371	-3.4159	0.8885						
GSE22421	APM	HLA-A	8068	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR	-0.2345	0.3674	-0.5353	0.1536	-0.1149	-0.6822						
GSE22421	APM	HLA-A	10884	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A	-0.3959	-0.0145	-0.2176	-0.5565	-1.4218	-0.9644						
GSE22421	APM	HLA-A	14116	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR	0.0566	0.2869	0.1635	0.4358	1.0642	-0.4055						
GSE22421	APM	HLA-A	20164	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR	1.0426	0.2630	0.4854	1.6919	-0.0012	-0.3488						
GSE22421	APM	HLA-A	26212	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR	-0.1203	-3.0589	0.1763	0.3045	-3.9049	-0.3834						
GSE22421	APM	HLA-A	31702	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A	-0.3585	0.9411	0.3219	0.2967	1.1457	0.6119						
GSE22421	APM	HLA-A	33565	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A	0.7398	1.6915	-0.1681	1.0135	2.6447	-0.3593						
GSE22421	APM	HLA-B	24124	DESCRIPTION_PREFIX	HLA-B		HLA-B--Major histocompatibility complex, class I, B	0.5361	1.8992	-0.6439	1.3429	0.5354	-0.8389						
GSE22421	APM	HLA-C	4255	DESCRIPTION_PREFIX	HLA-C		HLA-C--Major histocompatibility complex, class I, C	-0.3959	0.4542	0.1375	-0.9618	0.7820	-0.5066						
GSE22421	APM	HLA-C	7462	DESCRIPTION_PREFIX	HLA-C		HLA-C--Major histocompatibility complex, class I, C	-0.4941	-1.2863	-6.6439	-0.7518	-2.4008	-8.2232						
GSE22421	APM	HLA-C	21857	DESCRIPTION_PREFIX	HLA-C		HLA-C--Major histocompatibility complex, class I, C	-0.3219	-0.7612	-0.3040	-0.8983	-0.4004	-0.2296						
GSE22421	APM	B2M	26941	ORF	B2M		B2M--Beta-2-microglobulin	-1.1520	-0.9159	-0.2863	-1.8405	-1.6600	-2.7980						
GSE22421	APM	TAP1	4277	ORF	TAP1		TAP1--Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	0.1506	2.2141	-0.7131	0.2522	1.4553	-0.6057						
GSE22421	APM	TAP1	34518	ORF	TAP1		TAP1--Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	0.9928	0.6323	0.2388	0.0144	0.3068	-0.1032						
GSE22421	APM	TAP2	3841	ORF	TAP2		TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	-1.4344	0.1635	0.0426	-0.7618		0.3913						
GSE22421	APM	TAP2	9889	ORF	TAP2		TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	-0.0439	0.4005	-1.3219	0.5703	1.7370	-1.0585						
GSE22421	APM	TAP2	15937	ORF	TAP2		TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	-1.3959	1.2388	-0.4739	-4.5110		-0.5387						
GSE22421	APM	TAPBP	7726	ORF	TAPBP		TAPBP--TAP binding protein (tapasin)	0.1506	0.2630	-0.7131	0.1116	-0.2580							
GSE22421	APM	TAPBP	13774	ORF	TAPBP		TAPBP--TAP binding protein (tapasin)	0.7655	-0.8110	-0.9159	-0.3696	-1.1501	-1.5217						
GSE22421	APM	TAPBP	30819	ORF	TAPBP		TAPBP--TAP binding protein (tapasin)	2.2869	2.1276	-0.0291			-0.1061						
GSE22421	APM	PSMB8	16374	ORF	PSMB8		PSMB8--Proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional protease 7)	-1.3585	0.5558	0.4114	-1.4408	-0.0811	0.0515						
GSE22421	APM	PSMB8	22422	ORF	PSMB8		PSMB8--Proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional protease 7)	1.8237	0.9260	-0.1681	0.3700	-0.3039	0.8863						
GSE22421	APM	PSMB9	25567	ORF	PSMB9		PSMB9--Proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)	-0.4739	0.6871	-1.1520	-0.4641	1.1797	-1.1476						
GSE22421	APM	PSMB9	28889	ORF	PSMB9		PSMB9--Proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)	1.0704	-0.1361	-0.9159	1.1406	-0.9966	-1.3644						
GSE22421	APM	PSMB10	10912	ORF	PSMB10		PSMB10--Proteasome (prosome, macropain) subunit, beta type, 10	0.9336	-0.0439	2.7549	1.1465	-0.0729	3.4827						
GSE22421	APM	CALR	2180	ORF	CALR		CALR--Calreticulin	0.1110	2.7740	-0.4150	0.2024		-1.5507						
GSE22421	APM	CALR	23563	ORF	CALR		CALR--Calreticulin	0.3674	0.0976	-0.5778	0.9823	-0.8961	-0.6101						
GSE22421	APM	CANX	3753	ORF	CANX		CANX--Calnexin	0.0976	0.6508	-1.2176	2.0275	-1.6950	-2.2484						
GSE22421	APM	CANX	3755	ORF	CANX		CANX--Calnexin	0.2265	-0.2176	-0.2688	0.3924	-1.8626	1.8016						
GSE22421	APM	CANX	3757	ORF	CANX		CANX--Calnexin	3.8450	0.4436	-0.0740	1.0853	-0.9149	-0.5008						
GSE22421	APM	CANX	3759	ORF	CANX		CANX--Calnexin	0.5160	0.4222	-0.1844	2.0564	-0.7819	1.5801						
GSE22421	APM	CANX	10823	ORF	CANX		CANX--Calnexin	-0.1520	0.2510	-0.0740	-0.1380	-3.2347	-0.3307						
GSE22421	APM	CANX	22654	ORF	CANX		CANX--Calnexin	0.5361	0.5460	0.0286	1.6787	-0.0179	-0.5528						
GSE22421	APM	CANX	22656	ORF	CANX		CANX--Calnexin	0.6041	0.4436	0.1763	0.7488	0.3540	-0.8127						
GSE22421	APM	CANX	22658	ORF	CANX		CANX--Calnexin	0.0000	0.4647	-0.0589	0.3552	-0.1662	-0.3363						
GSE22421	APM	CANX	22660	ORF	CANX		CANX--Calnexin	0.3561	0.4751	0.1890	0.8118	-0.1803	-0.1185						
GSE22421	APM	CANX	25678	ORF	CANX		CANX--Calnexin	0.0426	1.0566	-0.0145	0.2249	0.1231	-0.6334						
GSE22421	APM	CANX	25680	ORF	CANX		CANX--Calnexin	-0.1520	1.2510	0.0841	-0.0948	1.0605	-0.8761						
GSE22421	APM	CANX	25682	ORF	CANX		CANX--Calnexin	0.2869	1.6645	0.1375	0.6232	3.0114	-0.0239						
GSE22421	APM	CANX	25684	ORF	CANX		CANX--Calnexin	-0.5564	0.6415	0.0841	-0.3186	1.8665	-0.2375						
GSE22421	APM	CANX	30970	ORF	CANX		CANX--Calnexin	0.6135	0.2869	0.3219	0.0760	0.6889	0.1242						
GSE22421	APM	CANX	30972	ORF	CANX		CANX--Calnexin	0.6323	-1.3585	0.1763	0.2081	-0.8038	0.0020						
GSE22421	APM	CANX	30974	ORF	CANX		CANX--Calnexin	0.5460	0.5261	0.3334	-0.0298	0.7670	0.0616						
GSE22421	APM	CANX	30976	ORF	CANX		CANX--Calnexin	0.1890	0.2750	0.6415	-0.0712	0.1311	0.4665						
GSE22421	IFN_IMMUNE	ISG15	1952	ORF	G1P2	G1P2->ISG15	G1P2--Interferon, alpha-inducible protein (clone IFI-15K)	-0.5146	-0.0291	-0.3959	0.1015	0.5038	-0.8034						
GSE22421	IFN_IMMUNE	MX1	35937	ORF	MX1		MX1--Myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	0.0566	0.1763	0.4005	0.1806	-3.2095	0.0478						
GSE22421	IFN_IMMUNE	OAS1	8392	ORF	OAS1		OAS1--2',5'-oligoadenylate synthetase 1, 40/46kDa	-0.0589	0.5558	2.0072	-2.4983	0.5768	2.5889						
GSE22421	IFN_IMMUNE	OAS2	18303	ORF	OAS2		OAS2--2'-5'-oligoadenylate synthetase 2, 69/71kDa	-0.0740	0.2630	0.0841	-0.1898	0.7571	0.4569						
GSE22421	IFN_IMMUNE	OAS3	30399	ORF	OAS3		OAS3--2'-5'-oligoadenylate synthetase 3, 100kDa	0.4222	0.3561	0.4330	0.2247	0.6447	0.4047						
GSE22421	IFN_IMMUNE	OASL	5568	ORF	OASL		OASL--2'-5'-oligoadenylate synthetase-like	0.6041	3.3089	0.9635		2.7931	0.7998						
GSE22421	IFN_IMMUNE	IFIT1	29863	ORF	IFIT1		IFIT1--Interferon-induced protein with tetratricopeptide repeats 1	2.0036	-0.2009	-0.9434	3.0209	-0.6498	-0.8768						
GSE22421	IFN_IMMUNE	IFIT2	5486	ORF	IFIT2		IFIT2--Interferon-induced protein with tetratricopeptide repeats 2	-1.6439	0.4957	-0.6439		-0.5062	-1.0173						
GSE22421	IFN_IMMUNE	IFIT3	17582	ORF	IFIT3		IFIT3--Interferon-induced protein with tetratricopeptide repeats 3	-0.8625	-0.2345	-0.6897	-0.5158	-0.4644	-0.7666						
GSE22421	IFN_IMMUNE	IFIT5	23815	ORF	IFIT5		IFIT5--Interferon-induced protein with tetratricopeptide repeats 5	4.7623	0.2869	0.2987	9.3772	-0.2796	2.9468						
GSE22421	IFN_IMMUNE	IFITM2	5571	ORF	IFITM2		IFITM2--Interferon induced transmembrane protein 2 (1-8D)	0.0426	2.8836	0.1763	0.2662	2.8484	-0.1069						
GSE22421	IFN_IMMUNE	IFITM2	10156	ORF	IFITM2		IFITM2--Interferon induced transmembrane protein 2 (1-8D)	-0.6439	0.7991	0.1243	-0.0578	0.2882	0.9432						
GSE22421	IFN_IMMUNE	IFI6	16865	ORF	G1P3	G1P3->IFI6	G1P3--Interferon, alpha-inducible protein (clone IFI-6-16)	0.2388	0.9635	-0.5564	1.0075	1.3661	-0.3079						
GSE22421	IFN_IMMUNE	IFI27	13326	ORF	IFI27		IFI27--Interferon, alpha-inducible protein 27	1.2510	0.5361	0.1110	1.3782	-0.5271	-0.1307						
GSE22421	IFN_IMMUNE	IFI35	25749	ORF	IFI35		IFI35--Interferon-induced protein 35	1.1570	0.6229	-0.1047	1.3987	0.6691	-0.4159						
GSE22421	IFN_IMMUNE	IFI44	32812	ORF	IFI44		IFI44--Interferon-induced protein 44	-0.3401	0.1110	-0.6439	-0.2974	1.3362	-0.6506						
GSE22421	IFN_IMMUNE	IFI16	9522	ORF	IFI16		IFI16--Interferon, gamma-inducible protein 16	-0.3040	1.2449	-0.2176	0.2322		0.0077						
GSE22421	IFN_IMMUNE	IFI16	21618	ORF	IFI16		IFI16--Interferon, gamma-inducible protein 16	1.5945	1.0356	-0.2863		1.0011	0.1842						
GSE22421	IFN_IMMUNE	DDX58	16774	ORF	DDX58		DDX58--DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	0.3674	-3.1844	-1.0000	1.1956	-3.6821	-0.8857						
GSE22421	IFN_IMMUNE	IFIH1	27394	ORF	IFIH1		IFIH1--Interferon induced with helicase C domain 1	-0.2515	0.2141	-0.9434	-0.4861	-0.1888	-1.6861						
GSE22421	IFN_IMMUNE	HERC5	19963	ORF	HERC5		HERC5--Hect domain and RLD 5	0.1635	0.6508	1.3103	0.3850	-0.6041	3.0233						
GSE22421	IFN_IMMUNE	USP18	14789	ORF	USP18		USP18--Ubiquitin specific protease 18	3.1194	-0.4739	1.0909	0.8491	-2.9104	1.0340						
GSE22421	IFN_IMMUNE	BST2	21420	ORF	BST2		BST2--Bone marrow stromal cell antigen 2	0.4751	-2.5564	-0.5353	0.1877	-2.8697	-0.8670						
GSE22421	IFN_IMMUNE	GBP1	19842	ORF	GBP1		GBP1--Guanylate binding protein 1, interferon-inducible, 67kDa	4.8037	0.9855	0.2510	3.5120	-0.4991	-0.1915						
GSE22421	IFN_IMMUNE	GBP2	1194	ORF	GBP2		GBP2--Guanylate binding protein 2, interferon-inducible	-0.3771	0.6960	-0.7859	0.1293		-0.7866						
GSE22421	IFN_IMMUNE	GBP4	14801	ORF	GBP4		GBP4--Guanylate binding protein 4	0.9782	0.8639	1.6508		1.0612	1.5367						
GSE22421	IFN_IMMUNE	GBP5	28362	ORF	GBP5		GBP5--Guanylate binding protein 5	0.3103	0.2510	1.2869		2.0049	1.6980						
GSE22421	IFN_IMMUNE	GBP5	34410	ORF	GBP5		GBP5--Guanylate binding protein 5	1.7398	-1.3219	0.0704		-5.0618	-0.0590						
GSE22421	IFN_IMMUNE	ZBP1	13828	ORF	ZBP1		ZBP1--Z-DNA binding protein 1	1.8278	0.1110	0.7740			1.9234						
GSE22421	IFN_IMMUNE	STAT1	16813	ORF	STAT1		STAT1--Signal transducer and activator of transcription 1, 91kDa	1.5753	-0.3401	-0.1047	1.9874	-1.7136	-0.4883						
GSE22421	IFN_IMMUNE	STAT1	22861	ORF	STAT1		STAT1--Signal transducer and activator of transcription 1, 91kDa	0.7824	-0.8890	-0.0893	0.9597	-1.0808	-0.1017						
GSE22421	IFN_IMMUNE	STAT1	28909	ORF	STAT1		STAT1--Signal transducer and activator of transcription 1, 91kDa	2.7740	1.3561	0.7137	2.9364	0.6560	0.6328						
GSE22421	IFN_IMMUNE	STAT2	11868	ORF	STAT2		STAT2--Signal transducer and activator of transcription 2, 113kDa	0.3785	-1.1844	-0.5995	0.7787	-1.2088	-0.5944						
GSE22421	IFN_IMMUNE	STAT2	23964	ORF	STAT2		STAT2--Signal transducer and activator of transcription 2, 113kDa	-0.2688	0.2388	0.0000	-0.3841	-0.7402	-0.5100						
GSE22421	IFN_IMMUNE	IRF1	28953	ORF	IRF1		IRF1--Interferon regulatory factor 1	1.8836	0.3785	1.0635	0.8699	0.4096	1.2017						
GSE22421	IFN_IMMUNE	IRF7	8364	ORF	IRF7		IRF7--Interferon regulatory factor 7	0.6960	1.7949	-0.2345	0.8198	0.3750	-0.5047						
GSE22421	IFN_IMMUNE	IRF7	29348	ORF	IRF7		IRF7--Interferon regulatory factor 7	-0.2009	0.9561	0.3785	-0.2328	0.1651	0.0463						
GSE22421	IFN_IMMUNE	JAK2	6736	ORF	JAK2		JAK2--Janus kinase 2 (a protein tyrosine kinase)	0.2630	1.6088	2.8197	0.7124		2.9069						
GSE22421	IFN_IMMUNE	JAK2	15210	ORF	JAK2		JAK2--Janus kinase 2 (a protein tyrosine kinase)	-0.4150	-0.4150	-0.7131	0.0405	-3.0797	-0.4960						
GSE22421	IFN_IMMUNE	SOCS1	1253	ORF	SOCS1		SOCS1--Suppressor of cytokine signaling 1	0.1243	0.0286	-0.8890	2.3219	0.9780	-1.0072						
GSE22421	IFN_IMMUNE	SOCS3	12585	ORF	SOCS3		SOCS3--Suppressor of cytokine signaling 3	-0.8625	1.7442	-0.4739	-1.1593	2.3682	-1.5472						
GSE22421	IFN_IMMUNE	B2M	26941	ORF	B2M		B2M--Beta-2-microglobulin	-1.1520	-0.9159	-0.2863	-1.8405	-1.6600	-2.7980						
GSE22421	IFN_IMMUNE	TAP1	4277	ORF	TAP1		TAP1--Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	0.1506	2.2141	-0.7131	0.2522	1.4553	-0.6057						
GSE22421	IFN_IMMUNE	TAP1	34518	ORF	TAP1		TAP1--Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	0.9928	0.6323	0.2388	0.0144	0.3068	-0.1032						
GSE22421	IFN_IMMUNE	TAP2	3841	ORF	TAP2		TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	-1.4344	0.1635	0.0426	-0.7618		0.3913						
GSE22421	IFN_IMMUNE	TAP2	9889	ORF	TAP2		TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	-0.0439	0.4005	-1.3219	0.5703	1.7370	-1.0585						
GSE22421	IFN_IMMUNE	TAP2	15937	ORF	TAP2		TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	-1.3959	1.2388	-0.4739	-4.5110		-0.5387						
GSE22421	IFN_IMMUNE	PSMB8	16374	ORF	PSMB8		PSMB8--Proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional protease 7)	-1.3585	0.5558	0.4114	-1.4408	-0.0811	0.0515						
GSE22421	IFN_IMMUNE	PSMB8	22422	ORF	PSMB8		PSMB8--Proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional protease 7)	1.8237	0.9260	-0.1681	0.3700	-0.3039	0.8863						
GSE22421	IFN_IMMUNE	PSMB9	25567	ORF	PSMB9		PSMB9--Proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)	-0.4739	0.6871	-1.1520	-0.4641	1.1797	-1.1476						
GSE22421	IFN_IMMUNE	PSMB9	28889	ORF	PSMB9		PSMB9--Proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)	1.0704	-0.1361	-0.9159	1.1406	-0.9966	-1.3644						
GSE22421	IFN_IMMUNE	HLA-A	1461	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A	-0.5564	3.0892	-1.1520	-0.1711		-1.4117						
GSE22421	IFN_IMMUNE	HLA-A	2020	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR	-0.3219	1.0426	0.0704	-0.9344	1.6147	0.9161						
GSE22421	IFN_IMMUNE	HLA-A	4836	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A	0.0566	1.0215	-1.2863	-0.1530		-3.3410						
GSE22421	IFN_IMMUNE	HLA-A	7509	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A	1.1110	-0.3040	0.0286	4.3371	-3.4159	0.8885						
GSE22421	IFN_IMMUNE	HLA-A	8068	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR	-0.2345	0.3674	-0.5353	0.1536	-0.1149	-0.6822						
GSE22421	IFN_IMMUNE	HLA-A	10884	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A	-0.3959	-0.0145	-0.2176	-0.5565	-1.4218	-0.9644						
GSE22421	IFN_IMMUNE	HLA-A	14116	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR	0.0566	0.2869	0.1635	0.4358	1.0642	-0.4055						
GSE22421	IFN_IMMUNE	HLA-A	20164	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR	1.0426	0.2630	0.4854	1.6919	-0.0012	-0.3488						
GSE22421	IFN_IMMUNE	HLA-A	26212	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR	-0.1203	-3.0589	0.1763	0.3045	-3.9049	-0.3834						
GSE22421	IFN_IMMUNE	HLA-A	31702	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A	-0.3585	0.9411	0.3219	0.2967	1.1457	0.6119						
GSE22421	IFN_IMMUNE	HLA-A	33565	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A	0.7398	1.6915	-0.1681	1.0135	2.6447	-0.3593						
GSE22421	IFN_IMMUNE	HLA-B	24124	DESCRIPTION_PREFIX	HLA-B		HLA-B--Major histocompatibility complex, class I, B	0.5361	1.8992	-0.6439	1.3429	0.5354	-0.8389						
GSE22421	IFN_IMMUNE	HLA-C	4255	DESCRIPTION_PREFIX	HLA-C		HLA-C--Major histocompatibility complex, class I, C	-0.3959	0.4542	0.1375	-0.9618	0.7820	-0.5066						
GSE22421	IFN_IMMUNE	HLA-C	7462	DESCRIPTION_PREFIX	HLA-C		HLA-C--Major histocompatibility complex, class I, C	-0.4941	-1.2863	-6.6439	-0.7518	-2.4008	-8.2232						
GSE22421	IFN_IMMUNE	HLA-C	21857	DESCRIPTION_PREFIX	HLA-C		HLA-C--Major histocompatibility complex, class I, C	-0.3219	-0.7612	-0.3040	-0.8983	-0.4004	-0.2296						
GSE22421	IFN_IMMUNE	HLA-E	22979	DESCRIPTION_PREFIX	HLA-E		HLA-E--Major histocompatibility complex, class I, E	-0.4344	-2.5564	0.0286	0.9519	-2.4408	-0.3289						
GSE22421	IFN_IMMUNE	HLA-F	16933	DESCRIPTION_PREFIX	HLA-F		HLA-F--Major histocompatibility complex, class I, F	0.8319	0.5160	0.4751	2.5286	-1.2460	0.6521						
GSE22421	IFN_IMMUNE	HLA-F	22981	DESCRIPTION_PREFIX	HLA-F		HLA-F--Major histocompatibility complex, class I, F	0.2265	-0.9714	0.0566	0.6985	-1.2759	-0.3332						
GSE22421	IFN_IMMUNE	TAPBP	7726	ORF	TAPBP		TAPBP--TAP binding protein (tapasin)	0.1506	0.2630	-0.7131	0.1116	-0.2580							
GSE22421	IFN_IMMUNE	TAPBP	13774	ORF	TAPBP		TAPBP--TAP binding protein (tapasin)	0.7655	-0.8110	-0.9159	-0.3696	-1.1501	-1.5217						
GSE22421	IFN_IMMUNE	TAPBP	30819	ORF	TAPBP		TAPBP--TAP binding protein (tapasin)	2.2869	2.1276	-0.0291			-0.1061						
GSE22421	IFN_IMMUNE	CXCL10	17150	ORF	CXCL10		CXCL10--Chemokine (C-X-C motif) ligand 10	2.2898	3.8500	-0.4540	3.3315		-0.9029						
GSE22421	IFN_IMMUNE	CXCL11	21687	ORF	CXCL11		CXCL11--Chemokine (C-X-C motif) ligand 11	-0.2176	2.4330	0.9107	-0.3392		1.2895						
GSE22421	IFN_IMMUNE	CXCL9	32064	ORF	CXCL9		CXCL9--Chemokine (C-X-C motif) ligand 9	2.6462	0.1763	0.6229			0.4462						
GSE22421	IFN_IMMUNE	CCL5	26892	ORF	CCL5		CCL5--Chemokine (C-C motif) ligand 5	1.4060	1.7225	1.9561	2.2327		1.7874						
GSE22421	IFN_IMMUNE	CCL2	3171	ORF	CCL2		CCL2--Chemokine (C-C motif) ligand 2	1.7655	-3.8365	-0.2345			-0.1197						
GSE22421	IFN_IMMUNE	IL6	23724	ORF	IL6		IL6--Interleukin 6 (interferon, beta 2)	0.7570	2.3103	1.1699	0.9764	1.0980	2.7908						
