panel	symbol	GSE22421_measured	GSE22421_n	GSE22421_median_log2	GSE22421_direction	GSE22421_p_1samp	GSE22493_measured	GSE22493_n	GSE22493_median_log2	GSE22493_direction	GSE22493_p_1samp	same_sign	mapping_note
IFN_IMMUNE	IFITM3	no	0		NA		no	0		NA		NA	NOT_ON_GPL10555
IFN_IMMUNE	IFI6	yes	3	0.2388	UP	0.6723	yes	3	0.1110	UP	0.9176	yes	G1P3->IFI6;ORF
IFN_IMMUNE	IFI27	yes	3	0.5361	UP	0.1975	yes	3	-2.3219	DOWN	0.7289	no	ORF
IFN_IMMUNE	IFI35	yes	3	0.6229	UP	0.2663	yes	3	-1.4344	DOWN	0.2566	no	ORF
IFN_IMMUNE	IFI44	yes	3	-0.3401	DOWN	0.3157	yes	2	-1.6793	DOWN	0.1202	yes	ORF
IFN_IMMUNE	IFI44L	no	0		NA		no	0		NA		NA	NOT_ON_GPL10555
IFN_IMMUNE	IFI16	yes	3	0.6452	UP	0.3364	yes	3	-0.0367	DOWN	0.9778	no	ORF
IFN_IMMUNE	DDX58	yes	3	-1.0000	DOWN	0.3437	yes	2	-1.4477	DOWN	0.3227	yes	ORF
IFN_IMMUNE	IFIH1	yes	3	-0.2515	DOWN	0.4335	yes	3	-0.9714	DOWN	0.0607	yes	ORF
IFN_IMMUNE	DDX60	no	0		NA		no	0		NA		NA	NOT_ON_GPL10555
IFN_IMMUNE	XAF1	no	0		NA		no	0		NA		NA	NOT_ON_GPL10555
IFN_IMMUNE	HERC5	yes	3	0.6508	UP	0.1668	yes	3	0.0704	UP	0.4137	yes	ORF
IFN_IMMUNE	USP18	yes	3	1.0909	UP	0.3538	yes	3	2.3306	UP	0.7967	yes	ORF
IFN_IMMUNE	CMPK2	no	0		NA		no	0		NA		NA	NOT_ON_GPL10555
IFN_IMMUNE	BST2	yes	3	-0.5353	DOWN	0.4309	yes	3	-0.8110	DOWN	0.7386	yes	ORF
IFN_IMMUNE	GBP1	yes	3	0.9855	UP	0.2898	yes	3	-2.8365	DOWN	0.1475	no	ORF
IFN_IMMUNE	GBP2	yes	3	-0.3771	DOWN	0.7583	yes	3	-0.7131	DOWN	0.4143	yes	ORF
IFN_IMMUNE	GBP4	yes	3	0.9782	UP	0.0417	yes	2	-0.1574	DOWN	0.8312	no	ORF
IFN_IMMUNE	GBP5	yes	3	0.6786	UP	0.4970	yes	3	-1.6258	DOWN	0.3544	no	ORF
IFN_IMMUNE	EIF2AK2	no	0		NA		no	0		NA		NA	NOT_ON_GPL10555
IFN_IMMUNE	ZBP1	yes	3	0.7740	UP	0.2122	yes	3	-0.5995	DOWN	0.6763	no	ORF
IFN_IMMUNE	STAT1	yes	3	-0.0893	DOWN	0.5901	yes	3	0.4824	UP	0.1486	no	ORF
IFN_IMMUNE	STAT2	yes	3	-0.2998	DOWN	0.2633	yes	3	-0.6695	DOWN	0.1557	yes	ORF
IFN_IMMUNE	IRF1	yes	3	1.0635	UP	0.1257	yes	3	-0.0439	DOWN	0.6129	no	ORF
IFN_IMMUNE	IRF7	yes	3	0.2475	UP	0.3007	yes	3	0.4182	UP	0.3242	yes	ORF
IFN_IMMUNE	IRF9	no	0		NA		no	0		NA		NA	NOT_ON_GPL10555
IFN_IMMUNE	JAK2	yes	3	0.5969	UP	0.2508	yes	3	1.8032	UP	0.0334	yes	ORF
IFN_IMMUNE	SOCS1	yes	3	0.0286	UP	0.5268	yes	2	-0.9954	DOWN	0.3267	no	ORF
IFN_IMMUNE	SOCS3	yes	3	-0.4739	DOWN	0.8824	yes	3	0.2987	UP	0.4780	no	ORF
IFN_IMMUNE	B2M	yes	3	-0.9159	DOWN	0.0935	yes	3	-2.5564	DOWN	0.5643	yes	ORF
IFN_IMMUNE	TAP1	yes	3	0.5717	UP	0.3461	yes	3	-1.4717	DOWN	0.8249	no	ORF
IFN_IMMUNE	TAP2	yes	3	-0.4739	DOWN	0.4447	yes	3	-0.5564	DOWN	0.2985	yes	ORF
IFN_IMMUNE	PSMB8	yes	3	0.2326	UP	0.1956	yes	3	0.3274	UP	0.3518	yes	ORF
IFN_IMMUNE	PSMB9	yes	3	0.2755	UP	0.7608	yes	3	1.7093	UP	0.0914	yes	ORF
IFN_IMMUNE	NLRC5	no	0		NA		no	0		NA		NA	NOT_ON_GPL10555
IFN_IMMUNE	HLA-A	yes	3	0.0286	UP	0.5894	yes	3	-1.5995	DOWN	0.4118	no	DESCRIPTION_PREFIX
IFN_IMMUNE	HLA-B	yes	3	0.5361	UP	0.5018	yes	3	-1.5564	DOWN	0.7783	no	DESCRIPTION_PREFIX
IFN_IMMUNE	HLA-C	yes	3	-0.3959	DOWN	0.0733	yes	3	-1.2515	DOWN	0.5949	yes	DESCRIPTION_PREFIX
IFN_IMMUNE	HLA-E	yes	3	-0.4344	DOWN	0.3405	yes	3	0.8718	UP	0.7460	no	DESCRIPTION_PREFIX
IFN_IMMUNE	HLA-F	yes	3	0.2659	UP	0.4837	yes	3	-1.3251	DOWN	0.5386	no	DESCRIPTION_PREFIX
IFN_IMMUNE	TAPBP	yes	3	0.2630	UP	0.8312	yes	3	-0.5601	DOWN	0.4945	no	ORF
IFN_IMMUNE	CXCL10	yes	3	2.2898	UP	0.2709	yes	2	3.0254	UP	0.5444	yes	ORF
IFN_IMMUNE	CXCL11	yes	3	0.9107	UP	0.3077	yes	3	1.6960	UP	0.8866	yes	ORF
IFN_IMMUNE	CXCL9	yes	3	0.6229	UP	0.2698	yes	1	-0.1361	DOWN		no	ORF
IFN_IMMUNE	CCL5	yes	3	1.7225	UP	0.0087	yes	1	-0.8625	DOWN		no	ORF
IFN_IMMUNE	CCL2	yes	3	-0.2345	DOWN	0.6853	yes	3	0.6599	UP	0.1216	no	ORF
IFN_IMMUNE	IL6	yes	3	1.4379	UP	0.0198	yes	3	-0.7180	DOWN	0.7860	no	ORF
IFN_IMMUNE	TNF	yes	3	0.2510	UP	0.6534	yes	3	-0.4941	DOWN	0.8258	no	ORF
IFN_IMMUNE	NFKB1	yes	3	-0.1203	DOWN	0.4359	yes	3	-0.6215	DOWN	0.4872	yes	ORF
IFN_IMMUNE	RELA	yes	3	-0.5564	DOWN	0.0846	yes	3	1.8520	UP	0.7116	no	ORF
IFN_IMMUNE	IL15	yes	3	0.8156	UP	0.0092	yes	3	0.6323	UP	0.4123	yes	ORF
IFN_IMMUNE	IL32	no	0		NA		no	0		NA		NA	NOT_ON_GPL10555
IFN_IMMUNE	IFNB1	yes	3	1.6041	UP	0.2174	yes	2	0.7165	UP	0.8806	yes	ORF
IFN_IMMUNE	IFNG	yes	2	-0.0152	DOWN	0.9941	yes	3	-0.8110	DOWN	0.2651	yes	ORF
IFN_IMMUNE	IFNAR1	yes	3	0.4647	UP	0.0169	yes	3	-1.2176	DOWN	0.1308	no	ORF
IFN_IMMUNE	IFNAR2	yes	3	0.0286	UP	0.8187	yes	3	0.0841	UP	0.7403	yes	ORF
IFN_IMMUNE	IFNGR1	yes	3	0.9855	UP	0.1780	yes	3	0.1375	UP	0.6375	yes	ORF
IFN_IMMUNE	IFNGR2	yes	3	0.0704	UP	0.3807	yes	3	1.0496	UP	0.8696	yes	ORF
IFN_IMMUNE	IFNL1	no	0		NA		no	0		NA		NA	NOT_ON_GPL10555
TJ	CLDN1	yes	3	1.8278	UP	0.0033	yes	3	-0.8625	DOWN	0.3117	no	ORF
TJ	CLDN2	yes	3	0.0976	UP	0.7174	yes	2	-0.0800	DOWN	0.9735	no	ORF
TJ	CLDN3	yes	3	-0.6666	DOWN	0.2490	yes	3	-0.8625	DOWN	0.0064	yes	ORF
TJ	CLDN4	yes	3	0.0000	ZERO	0.5914	yes	2	-1.2250	DOWN	0.2520	NA	ORF
TJ	CLDN5	no	0		NA		no	0		NA		NA	NOT_ON_GPL10555
TJ	CLDN6	yes	3	0.4114	UP	0.3222	yes	3	-0.5564	DOWN	0.2996	no	ORF
TJ	CLDN7	yes	3	0.7137	UP	0.0390	yes	3	-0.3585	DOWN	0.5929	no	ORF
TJ	CLDN8	yes	3	1.0635	UP	0.3895	yes	1	-3.3219	DOWN		no	ORF
TJ	CLDN9	yes	3	0.9709	UP	0.5116	yes	3	1.4906	UP	0.2772	yes	ORF
TJ	CLDN10	yes	3	0.5753	UP	0.7606	yes	3	-1.4344	DOWN	0.6064	no	ORF
TJ	CLDN12	yes	3	-1.0893	DOWN	0.8228	yes	3	0.0841	UP	0.9849	no	ORF
TJ	CLDN18	yes	3	0.4854	UP	0.0468	yes	3	-0.8625	DOWN	0.8192	no	ORF
TJ	TJP1	yes	3	0.0493	UP	0.6087	yes	3	-0.8930	DOWN	0.0273	no	ORF
TJ	TJP2	yes	3	0.8560	UP	0.4218	yes	2	1.8539	UP	0.3186	yes	ORF
TJ	TJP3	yes	3	0.7740	UP	0.6061	yes	3	1.7004	UP	0.9005	yes	ORF
TJ	OCLN	yes	3	0.1790	UP	0.5584	yes	3	-0.1349	DOWN	0.8294	no	ORF
TJ	MARVELD2	yes	3	0.4264	UP	0.0657	yes	3	-1.0301	DOWN	0.6533	no	ORF
TJ	MARVELD3	yes	3	0.1635	UP	0.9089	yes	3	-1.0312	DOWN	0.0940	no	ORF
TJ	F11R	yes	3	0.0907	UP	0.6350	yes	3	0.7566	UP	0.7842	yes	ORF
TJ	JAM2	yes	3	1.0976	UP	0.0214	yes	1	-5.0589	DOWN		no	ORF
TJ	JAM3	yes	3	0.7137	UP	0.1279	yes	3	1.0566	UP	0.0245	yes	ORF
TJ	CGN	yes	3	-0.1520	DOWN	0.9756	yes	3	1.4330	UP	0.2428	no	ORF
TJ	CDH1	yes	3	-0.4429	DOWN	0.3003	yes	3	0.4297	UP	0.9308	no	ORF
TJ	CTNNB1	yes	3	0.3858	UP	0.0148	yes	3	-0.0198	DOWN	0.5422	no	ORF
TJ	CTNNA1	yes	3	0.0841	UP	0.1857	yes	3	-1.3959	DOWN	0.4618	no	ORF
TJ	EPCAM	no	0		NA		no	0		NA		NA	NOT_ON_GPL10555
TJ	CRB3	yes	3	0.0907	UP	0.3094	yes	3	1.0706	UP	0.3095	yes	ORF
