study	panel	symbol	measured	n_probes_annotated	n_arrays_with_value	GSM557400	GSM557401	GSM557402	GSM558700	GSM558701	GSM558702	mean_log2	median_log2	t_1samp	p_1samp	q_BH_within_panel	direction	scanarray_median_log2	scanarray_direction	scanarray_n	mapping_note
GSE22421	IFN_IMMUNE	STAT2	yes	2	3	0.0549	-0.4728	-0.2998				-0.2392	-0.2998	-1.5405	0.2633	0.5902	DOWN	-0.5522	DOWN	3	ORF
GSE22421	IFN_IMMUNE	IRF1	yes	1	3	1.8836	0.3785	1.0635				1.1085	1.0635	2.5480	0.1257	0.5902	UP	0.8699	UP	3	ORF
GSE22421	IFN_IMMUNE	IRF7	yes	2	3	0.2475	1.3755	0.0720				0.5650	0.2475	1.3835	0.3007	0.5902	UP	0.2700	UP	3	ORF
GSE22421	IFN_IMMUNE	IRF9	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22421	IFN_IMMUNE	JAK2	yes	2	3	-0.0760	0.5969	1.0533				0.5247	0.5969	1.5998	0.2508	0.5902	UP	0.3765	UP	3	ORF
GSE22421	IFN_IMMUNE	SOCS1	yes	1	3	0.1243	0.0286	-0.8890				-0.2454	0.0286	-0.7596	0.5268	0.6585	UP	0.9780	UP	3	ORF
GSE22421	IFN_IMMUNE	SOCS3	yes	1	3	-0.8625	1.7442	-0.4739				0.1359	-0.4739	0.1674	0.8824	0.8974	DOWN	-1.1593	DOWN	3	ORF
GSE22421	IFN_IMMUNE	B2M	yes	1	3	-1.1520	-0.9159	-0.2863				-0.7847	-0.9159	-3.0373	0.0935	0.5610	DOWN	-1.8405	DOWN	3	ORF
GSE22421	IFN_IMMUNE	TAP1	yes	2	3	0.5717	1.4232	-0.2371				0.5859	0.5717	1.2223	0.3461	0.5902	UP	0.1333	UP	3	ORF
GSE22421	IFN_IMMUNE	TAP2	yes	3	3	-1.3959	0.4005	-0.4739				-0.4898	-0.4739	-0.9443	0.4447	0.6257	DOWN	-0.5387	DOWN	3	ORF
GSE22421	IFN_IMMUNE	PSMB8	yes	2	3	0.2326	0.7409	0.1216				0.3651	0.2326	1.9149	0.1956	0.5902	UP	-0.1925	DOWN	3	ORF
GSE22421	IFN_IMMUNE	PSMB9	yes	2	3	0.2983	0.2755	-1.0339				-0.1534	0.2755	-0.3484	0.7608	0.8300	UP	0.0915	UP	3	ORF
GSE22421	IFN_IMMUNE	NLRC5	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22421	IFN_IMMUNE	HLA-A	yes	11	3	-0.1203	0.3674	0.0286				0.0919	0.0286	0.6369	0.5894	0.7081	UP	-0.0012	DOWN	3	DESCRIPTION_PREFIX
GSE22421	IFN_IMMUNE	HLA-B	yes	1	3	0.5361	1.8992	-0.6439				0.5971	0.5361	0.8127	0.5018	0.6406	UP	0.5354	UP	3	DESCRIPTION_PREFIX
GSE22421	IFN_IMMUNE	HLA-C	yes	3	3	-0.3959	-0.7612	-0.3040				-0.4870	-0.3959	-3.4881	0.0733	0.5610	DOWN	-0.5066	DOWN	3	DESCRIPTION_PREFIX
GSE22421	IFN_IMMUNE	HLA-E	yes	1	3	-0.4344	-2.5564	0.0286				-0.9874	-0.4344	-1.2408	0.3405	0.5902	DOWN	-0.3289	DOWN	3	DESCRIPTION_PREFIX
GSE22421	IFN_IMMUNE	HLA-F	yes	2	3	0.5292	-0.2277	0.2659				0.1891	0.2659	0.8525	0.4837	0.6406	UP	0.1594	UP	3	DESCRIPTION_PREFIX
GSE22421	IFN_IMMUNE	TAPBP	yes	3	3	0.7655	0.2630	-0.7131				0.1051	0.2630	0.2422	0.8312	0.8599	UP	-0.7041	DOWN	3	ORF
GSE22421	IFN_IMMUNE	CXCL10	yes	1	3	2.2898	3.8500	-0.4540				1.8953	2.2898	1.5065	0.2709	0.5902	UP	1.2143	UP	2	ORF
GSE22421	IFN_IMMUNE	CXCL11	yes	1	3	-0.2176	2.4330	0.9107				1.0420	0.9107	1.3569	0.3077	0.5902	UP	0.4752	UP	2	ORF
GSE22421	IFN_IMMUNE	CXCL9	yes	1	3	2.6462	0.1763	0.6229				1.1485	0.6229	1.5114	0.2698	0.5902	UP	0.4462	UP	1	ORF
GSE22421	IFN_IMMUNE	CCL5	yes	1	3	1.4060	1.7225	1.9561				1.6949	1.7225	10.6328	0.0087	0.1840	UP	2.0100	UP	2	ORF
GSE22421	IFN_IMMUNE	CCL2	yes	1	3	1.7655	-3.8365	-0.2345				-0.7685	-0.2345	-0.4689	0.6853	0.7758	DOWN	-0.1197	DOWN	1	ORF
GSE22421	IFN_IMMUNE	IL6	yes	2	3	0.9440	1.4379	1.5555				1.3125	1.4379	7.0052	0.0198	0.2376	UP	1.7731	UP	3	ORF
GSE22421	IFN_IMMUNE	TNF	yes	1	3	2.2957	0.2510	-1.0291				0.5059	0.2510	0.5225	0.6534	0.7687	UP	-0.5431	DOWN	2	ORF
GSE22421	IFN_IMMUNE	NFKB1	yes	1	3	-0.1203	-3.3219	0.1890				-1.0844	-0.1203	-0.9662	0.4359	0.6257	DOWN	-0.0199	DOWN	3	ORF
GSE22421	IFN_IMMUNE	RELA	yes	1	3	-0.5564	-0.6666	-0.1844				-0.4691	-0.5564	-3.2159	0.0846	0.5610	DOWN	-0.1223	DOWN	3	ORF
GSE22421	IFN_IMMUNE	IL15	yes	3	3	0.6135	0.8480	0.8156				0.7590	0.8156	10.3459	0.0092	0.1840	UP	0.7366	UP	3	ORF
GSE22421	IFN_IMMUNE	IL32	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22421	IFN_IMMUNE	IFNB1	yes	1	3	-0.0291	2.8032	1.6041				1.4594	1.6041	1.7780	0.2174	0.5902	UP		NA	0	ORF
GSE22421	IFN_IMMUNE	IFNG	yes	1	2	1.6135		-1.6439				-0.0152	-0.0152	-0.0093	0.9941	0.9941	DOWN	-1.2575	DOWN	1	ORF
GSE22421	IFN_IMMUNE	IFNAR1	yes	1	3	0.6599	0.4647	0.4436				0.5227	0.4647	7.5920	0.0169	0.2376	UP	0.6474	UP	3	ORF
GSE22421	IFN_IMMUNE	IFNAR2	yes	1	3	-0.8110	0.4854	0.0286				-0.0990	0.0286	-0.2608	0.8187	0.8599	UP	0.0602	UP	3	ORF
GSE22421	IFN_IMMUNE	IFNGR1	yes	1	3	0.9855	1.0356	0.0144				0.6785	0.9855	2.0414	0.1780	0.5902	UP	0.6600	UP	3	ORF
GSE22421	IFN_IMMUNE	IFNGR2	yes	1	3	1.5211	0.0426	0.0704				0.5447	0.0704	1.1156	0.3807	0.6174	UP	-0.4996	DOWN	3	ORF
GSE22421	IFN_IMMUNE	IFNL1	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22493	IFN_IMMUNE	ISG15	yes	1	3				0.7137	1.7949	-1.0589	0.4832	0.7137	0.5809	0.6200	0.9453	UP	-1.6894	DOWN	3	G1P2->ISG15;ORF
GSE22493	IFN_IMMUNE	MX1	yes	1	2				-0.0740		0.7908	0.3584	0.3584	0.8289	0.5594	0.9453	UP	-0.5622	DOWN	2	ORF
GSE22493	IFN_IMMUNE	MX2	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22493	IFN_IMMUNE	OAS1	yes	1	3				0.7398	-0.6897	0.6323	0.2275	0.6323	0.4949	0.6697	0.9453	UP	-0.2977	DOWN	3	ORF
GSE22493	IFN_IMMUNE	OAS2	yes	1	3				-0.2863	2.8115	0.1110	0.8787	0.1110	0.9030	0.4618	0.9453	UP	-1.5287	DOWN	3	ORF
GSE22493	IFN_IMMUNE	OAS3	yes	1	3				1.2265	-0.3585	0.5753	0.4811	0.5753	1.0459	0.4054	0.9453	UP	0.4942	UP	3	ORF
GSE22493	IFN_IMMUNE	OASL	yes	1	2				-2.2515	0.8400		-0.7058	-0.7058	-0.4566	0.7273	0.9453	DOWN	-2.2856	DOWN	2	ORF
GSE22493	IFN_IMMUNE	RSAD2	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22493	IFN_IMMUNE	IFIT1	yes	1	3				-2.8365	-1.1203	-2.1203	-2.0257	-2.1203	-4.0703	0.0554	0.9031	DOWN	-3.6923	DOWN	2	ORF
GSE22493	IFN_IMMUNE	IFIT2	yes	1	3				-1.5146	1.6736	-1.3219	-0.3876	-1.3219	-0.3756	0.7433	0.9453	DOWN	-2.2890	DOWN	2	ORF
GSE22493	IFN_IMMUNE	IFIT3	yes	1	3				-0.5995	-0.7859	1.3448	-0.0135	-0.5995	-0.0199	0.9860	0.9860	DOWN	0.2583	UP	3	ORF
GSE22493	IFN_IMMUNE	IFIT5	yes	1	3				0.1635	-0.1520	-0.0291	-0.0059	-0.0291	-0.0639	0.9549	0.9860	DOWN	-0.7658	DOWN	3	ORF
GSE22493	IFN_IMMUNE	IFITM1	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22493	IFN_IMMUNE	IFITM2	yes	2	3				0.7527	2.7302	-0.2542	1.0762	0.7527	1.2277	0.3444	0.9453	UP	-0.4842	DOWN	3	ORF
GSE22493	IFN_IMMUNE	IFITM3	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22493	IFN_IMMUNE	IFI6	yes	1	3				0.9336	-0.8625	0.1110	0.0607	0.1110	0.1169	0.9176	0.9677	UP	0.7297	UP	3	G1P3->IFI6;ORF
GSE22493	IFN_IMMUNE	IFI27	yes	1	3				-2.6439	2.8420	-2.3219	-0.7079	-2.3219	-0.3983	0.7289	0.9453	DOWN	-2.4052	DOWN	3	ORF
GSE22493	IFN_IMMUNE	IFI35	yes	1	3				-1.4344	0.2388	-1.4344	-0.8767	-1.4344	-1.5718	0.2566	0.9453	DOWN	-1.9504	DOWN	3	ORF
GSE22493	IFN_IMMUNE	IFI44	yes	1	2				-1.3585		-2.0000	-1.6793	-1.6793	-5.2354	0.1202	0.9031	DOWN	-2.5865	DOWN	2	ORF
GSE22493	IFN_IMMUNE	IFI44L	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22493	IFN_IMMUNE	IFI16	yes	2	3				-0.0367	1.1243	-1.0291	0.0195	-0.0367	0.0313	0.9778	0.9860	DOWN	-1.3378	DOWN	3	ORF
GSE22493	IFN_IMMUNE	DDX58	yes	1	2					-0.6439	-2.2515	-1.4477	-1.4477	-1.8011	0.3227	0.9453	DOWN	-1.6782	DOWN	2	ORF
GSE22493	IFN_IMMUNE	IFIH1	yes	1	3				-0.4941	-0.9714	-1.3219	-0.9291	-0.9714	-3.8730	0.0607	0.9031	DOWN	-1.3363	DOWN	3	ORF
GSE22493	IFN_IMMUNE	DDX60	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22493	IFN_IMMUNE	XAF1	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22493	IFN_IMMUNE	HERC5	yes	1	3				-0.0439	0.0704	1.5607	0.5291	0.0704	1.0236	0.4137	0.9453	UP	0.2619	UP	3	ORF
GSE22493	IFN_IMMUNE	USP18	yes	1	3				2.3306	-3.6439	3.2095	0.6321	2.3306	0.2936	0.7967	0.9453	UP	2.2410	UP	3	ORF
GSE22493	IFN_IMMUNE	CMPK2	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22493	IFN_IMMUNE	BST2	yes	1	3				-0.8625	0.9782	-0.8110	-0.2318	-0.8110	-0.3830	0.7386	0.9453	DOWN	-0.8170	DOWN	3	ORF
GSE22493	IFN_IMMUNE	GBP1	yes	1	3				-2.8365	-0.3585	-3.6439	-2.2796	-2.8365	-2.3063	0.1475	0.9031	DOWN	-3.3787	DOWN	3	ORF
GSE22493	IFN_IMMUNE	GBP2	yes	1	3				0.4114	-0.7131	-1.0589	-0.4535	-0.7131	-1.0218	0.4143	0.9453	DOWN	0.0568	UP	3	ORF
GSE22493	IFN_IMMUNE	GBP4	yes	1	2				0.4222	-0.7370		-0.1574	-0.1574	-0.2716	0.8312	0.9453	DOWN	-0.1618	DOWN	2	ORF
GSE22493	IFN_IMMUNE	GBP5	yes	2	3				-1.6258	0.6400	-1.9040	-0.9633	-1.6258	-1.1957	0.3544	0.9453	DOWN	-2.6624	DOWN	3	ORF
GSE22493	IFN_IMMUNE	EIF2AK2	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22493	IFN_IMMUNE	ZBP1	yes	1	3				0.8319	-0.5995	-1.0589	-0.2755	-0.5995	-0.4839	0.6763	0.9453	DOWN	-0.0429	DOWN	3	ORF
GSE22493	IFN_IMMUNE	STAT1	yes	3	3				0.1110	0.8237	0.4824	0.4723	0.4824	2.2952	0.1486	0.9031	UP	-0.5272	DOWN	3	ORF
GSE22493	IFN_IMMUNE	STAT2	yes	2	3				-0.7041	-0.0491	-0.6695	-0.4742	-0.6695	-2.2285	0.1557	0.9031	DOWN	-1.6077	DOWN	3	ORF
GSE22493	IFN_IMMUNE	IRF1	yes	1	3				-1.0291	-0.0439	0.3448	-0.2427	-0.0439	-0.5937	0.6129	0.9453	DOWN	0.1600	UP	3	ORF
GSE22493	IFN_IMMUNE	IRF7	yes	2	3				-0.1419	0.5423	0.4182	0.2729	0.4182	1.2966	0.3242	0.9453	UP	-0.3857	DOWN	3	ORF
GSE22493	IFN_IMMUNE	IRF9	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22493	IFN_IMMUNE	JAK2	yes	2	3				1.8032	2.3683	1.2044	1.7919	1.8032	5.3324	0.0334	0.9031	UP	0.3581	UP	3	ORF
GSE22493	IFN_IMMUNE	SOCS1	yes	1	2				-0.4344		-1.5564	-0.9954	-0.9954	-1.7743	0.3267	0.9453	DOWN	-2.0614	DOWN	2	ORF
GSE22493	IFN_IMMUNE	SOCS3	yes	1	3				0.2987	-0.5995	3.7060	1.1351	0.2987	0.8656	0.4780	0.9453	UP	0.6298	UP	3	ORF
GSE22493	IFN_IMMUNE	B2M	yes	1	3				-2.5564	2.2296	-3.1844	-1.1704	-2.5564	-0.6846	0.5643	0.9453	DOWN	-2.5919	DOWN	3	ORF
GSE22493	IFN_IMMUNE	TAP1	yes	2	3				-1.9030	2.3537	-1.4717	-0.3403	-1.4717	-0.2516	0.8249	0.9453	DOWN	-1.9654	DOWN	3	ORF
GSE22493	IFN_IMMUNE	TAP2	yes	3	3				-0.5564	-3.0589	-0.1681	-1.2611	-0.5564	-1.3922	0.2985	0.9453	DOWN	-1.2730	DOWN	3	ORF
GSE22493	IFN_IMMUNE	PSMB8	yes	2	3				0.3274	1.0575	-0.1330	0.4173	0.3274	1.2040	0.3518	0.9453	UP	-0.1857	DOWN	3	ORF
GSE22493	IFN_IMMUNE	PSMB9	yes	2	3				0.9381	3.0522	1.7093	1.8999	1.7093	3.0757	0.0914	0.9031	UP	0.4669	UP	3	ORF
GSE22493	IFN_IMMUNE	NLRC5	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22493	IFN_IMMUNE	HLA-A	yes	11	3				-1.5995	0.7975	-1.7370	-0.8463	-1.5995	-1.0285	0.4118	0.9453	DOWN	-1.1958	DOWN	3	DESCRIPTION_PREFIX
GSE22493	IFN_IMMUNE	HLA-B	yes	1	3				-1.5564	2.3277	-2.1203	-0.4497	-1.5564	-0.3216	0.7783	0.9453	DOWN	-1.8952	DOWN	3	DESCRIPTION_PREFIX
GSE22493	IFN_IMMUNE	HLA-C	yes	3	3				-1.2515	1.0566	-1.2515	-0.4821	-1.2515	-0.6267	0.5949	0.9453	DOWN	-0.6663	DOWN	3	DESCRIPTION_PREFIX
GSE22493	IFN_IMMUNE	HLA-E	yes	1	3				0.8718	-1.5564	1.7991	0.3715	0.8718	0.3713	0.7460	0.9453	UP	1.8184	UP	3	DESCRIPTION_PREFIX
GSE22493	IFN_IMMUNE	HLA-F	yes	2	3				-1.8929	1.1540	-1.3251	-0.6880	-1.3251	-0.7355	0.5386	0.9453	DOWN	-0.8954	DOWN	3	DESCRIPTION_PREFIX
GSE22493	IFN_IMMUNE	TAPBP	yes	3	3				-1.3585	0.5460	-0.5601	-0.4575	-0.5601	-0.8286	0.4945	0.9453	DOWN	-0.8896	DOWN	3	ORF
GSE22493	IFN_IMMUNE	CXCL10	yes	1	2					6.5048	-0.4540	3.0254	3.0254	0.8695	0.5444	0.9453	UP	-4.3423	DOWN	2	ORF
GSE22493	IFN_IMMUNE	CXCL11	yes	1	3				-3.6439	1.6960	2.9241	0.3254	1.6960	0.1614	0.8866	0.9523	UP	-3.3551	DOWN	2	ORF
GSE22493	IFN_IMMUNE	CXCL9	yes	1	1						-0.1361	-0.1361	-0.1361				DOWN	-1.2767	DOWN	1	ORF
GSE22493	IFN_IMMUNE	CCL5	yes	1	1						-0.8625	-0.8625	-0.8625				DOWN	-1.5236	DOWN	1	ORF
GSE22493	IFN_IMMUNE	CCL2	yes	1	3				1.1763	0.6599	0.2510	0.6957	0.6599	2.5988	0.1216	0.9031	UP	-0.7138	DOWN	3	ORF
GSE22493	IFN_IMMUNE	IL6	yes	2	3				-1.2176	1.2388	-0.7180	-0.2323	-0.7180	-0.3099	0.7860	0.9453	DOWN	-1.5645	DOWN	3	ORF
GSE22493	IFN_IMMUNE	TNF	yes	1	3				-0.4941	1.6088	-0.5778	0.1790	-0.4941	0.2502	0.8258	0.9453	DOWN	-1.6676	DOWN	3	ORF
GSE22493	IFN_IMMUNE	NFKB1	yes	1	3				-0.6215	0.6960	-2.1844	-0.7033	-0.6215	-0.8448	0.4872	0.9453	DOWN	-0.6325	DOWN	3	ORF
GSE22493	IFN_IMMUNE	RELA	yes	1	3				1.8520	-2.3959	2.5084	0.6548	1.8520	0.4260	0.7116	0.9453	UP	1.5240	UP	3	ORF
GSE22493	IFN_IMMUNE	IL15	yes	3	3				0.9184	-0.3585	0.6323	0.3974	0.6323	1.0272	0.4123	0.9453	UP	-0.2566	DOWN	3	ORF
GSE22493	IFN_IMMUNE	IL32	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22493	IFN_IMMUNE	IFNB1	yes	1	2					4.4919	-3.0589	0.7165	0.7165	0.1898	0.8806	0.9523	UP	-5.0444	DOWN	1	ORF
GSE22493	IFN_IMMUNE	IFNG	yes	1	3				-0.2688	-0.8110	-3.4739	-1.5179	-0.8110	-1.5325	0.2651	0.9453	DOWN	-1.5990	DOWN	3	ORF
GSE22493	IFN_IMMUNE	IFNAR1	yes	1	3				-1.3585	-1.2176	-0.1844	-0.9202	-1.2176	-2.4861	0.1308	0.9031	DOWN	-0.7888	DOWN	3	ORF
GSE22493	IFN_IMMUNE	IFNAR2	yes	1	3				0.0841	1.2449	-2.6439	-0.4383	0.0841	-0.3803	0.7403	0.9453	UP	-1.8422	DOWN	3	ORF
GSE22493	IFN_IMMUNE	IFNGR1	yes	1	3				0.6415	0.1375	-2.2515	-0.4908	0.1375	-0.5501	0.6375	0.9453	UP	-0.3460	DOWN	3	ORF
GSE22493	IFN_IMMUNE	IFNGR2	yes	1	3				-1.7859	1.0496	1.2869	0.1835	1.0496	0.1859	0.8696	0.9523	UP	-0.9319	DOWN	3	ORF
GSE22493	IFN_IMMUNE	IFNL1	no	0	0												NA		NA	0	NOT_ON_GPL10555
